ID,Type,Change,Field,Old_Value,New_Value
cpd00028,InChI,added,,,"InChI=1S/C34H34N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h7-8,13-16H,1-2,9-12H2,3-6H3,(H4-,35,36,37,38,39,40,41,42);/q;+2/p-4"
cpd00028,InChIKey,added,,,GVALMVRVCSGWLE-UHFFFAOYSA-J
cpd00028,SMILE,added,,,C=Cc1c(C)c2n3c1C=c1c(C)c(C=C)c4n1[Fe-2]31n3c(c(C)c(CCC(=O)[O-])c3[CH+]C3=[N+]1C(=C2)C(C)=C3CCC(=O)[O-])C=4
cpd00043,InChI,modified,Structure,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/p-2/t5-,6-,8+,9-,10+,11-,12-,13-,14?/m1/s1","InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/p-2/t5-,6-,8+,9-,10+,11-,12-,13?,14-/m1/s1"
cpd00043,InChIKey,modified,Structure,HSCJRCZFDFQWRP-LNYDKVEPSA-L,HSCJRCZFDFQWRP-WBRQRZOHSA-L
cpd00043,SMILE,modified,Structure,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=c1ccn(C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00067,InChI,removed,,InChI=1S/p+1,
cpd00067,InChIKey,removed,,GPRLSGONYQIRFK-UHFFFAOYSA-N,
cpd00067,SMILE,removed,,[H+],
cpd00074,InChI,added,,,InChI=1S/H2S/h1H2/p-1
cpd00074,InChIKey,added,,,RWSOTUBLDIXVET-UHFFFAOYSA-M
cpd00074,SMILE,added,,,[SH-]
cpd00082,InChI,modified,Structure,"InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1","InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5-,6-/m1/s1"
cpd00082,InChIKey,modified,Structure,RFSUNEUAIZKAJO-VRPWFDPXSA-N,BJHIKXHVCXFQLS-UYFOZJQFSA-N
cpd00082,SMILE,modified,Structure,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO
cpd00166,InChI,modified,Aliases,ADENOSYLCOBALAMIN,ADENOSYLCOBALAMIN;C00194
cpd00166,InChI,modified,Formula,C72H99CoN18O17P,C72H102CoN18O17P
cpd00166,InChI,modified,Charge,-1,2
cpd00166,InChI,modified,Structure,"InChI=1S/C62H90N13O14P.C10H12N5O3.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15;/h20-21,23,28,31,35-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H16,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);2-4,6-7,10,16-17H,1H2,(H2,11,12,13);/q;;+2/p-3/b42-23-;;/t31-,35-,36-,37+,41-,52-,53-,56-,57+,59+,60+,61+,62+;4-,6-,7-,10-;/m11./s1","InChI=1S/C62H90N13O14P.C10H12N5O3.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);2-4,6-7,10,16-17H,1H2,(H2,11,12,13);/q;;+2/t31-,34-,35-,36-,37+,41-,52-,53-,56?,57+,59-,60+,61+,62+;4-,6-,7-,10-;/m11./s1"
cpd00166,InChIKey,modified,Aliases,ADENOSYLCOBALAMIN,ADENOSYLCOBALAMIN;C00194
cpd00166,InChIKey,modified,Formula,C72H99CoN18O17P,C72H102CoN18O17P
cpd00166,InChIKey,modified,Charge,-1,2
cpd00166,InChIKey,modified,Structure,RQKRKGLLCIDKLI-BDMMYZNDSA-K,ZIHHMGTYZOSFRC-QRVZQHAISA-N
cpd00166,SMILE,modified,Aliases,ADENOSYLCOBALAMIN,ADENOSYLCOBALAMIN;C00194
cpd00166,SMILE,modified,Formula,C72H99CoN18O17P,C72H102CoN18O17P
cpd00166,SMILE,modified,Charge,-1,2
cpd00166,SMILE,modified,Structure,CC1=C2N3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5N6[C@@H]7[C@H](CC(N)=O)[C@]5(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]5[C@@H](O)[C@H](O[C@@H]5CO)[n+]5cn(c8cc(C)c(C)cc85)[Co-3]364(C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]73C)[C@@H](CCC(N)=O)C2(C)C,C/C1=C2/N([Co+]C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)C([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4cc(C)c(C)cc43)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\[NH+]=C(/C=C4\[NH+]=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
cpd00175,InChI,modified,Structure,"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/p-2/t7-,8-,10-,11+,12-,13-,14-,15-,16?/m1/s1","InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/p-2/t7-,8-,10-,11+,12-,13-,14-,15?,16-/m1/s1"
cpd00175,InChIKey,modified,Structure,LFTYTUAZOPRMMI-LDDHHVEYSA-L,LFTYTUAZOPRMMI-FTFHWYEPSA-L
cpd00175,SMILE,modified,Structure,CC(=O)N[C@H]1C(OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
cpd00244,InChI,added,,,InChI=1S/Ni/q+2
cpd00244,InChIKey,added,,,VEQPNABPJHWNSG-UHFFFAOYSA-N
cpd00244,SMILE,added,,,[Ni+2]
cpd00258,InChI,modified,Structure,"InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4-,5?/m1/s1","InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h3,5-8,10H,1-2H2/t3-,5-/m1/s1"
cpd00258,InChIKey,modified,Structure,LQXVFWRQNMEDEE-ZZKAVYKESA-N,ZAQJHHRNXZUBTE-NQXXGFSBSA-N
cpd00258,SMILE,modified,Structure,OCC1(O)OC[C@@H](O)[C@H]1O,O=C(CO)[C@H](O)[C@H](O)CO
cpd00261,InChI,modified,Structure,"InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4+,5?/m0/s1","InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h3,5-8,10H,1-2H2/t3-,5+/m0/s1"
cpd00261,InChIKey,modified,Structure,LQXVFWRQNMEDEE-PYHARJCCSA-N,ZAQJHHRNXZUBTE-WVZVXSGGSA-N
cpd00261,SMILE,modified,Structure,OCC1(O)OC[C@H](O)[C@H]1O,O=C(CO)[C@H](O)[C@@H](O)CO
cpd00265,InChI,modified,Aliases,C00317,Alpha-6-branched-alpha-14-glucans;C00317;CPD-7043
cpd00265,InChIKey,modified,Aliases,C00317,Alpha-6-branched-alpha-14-glucans;C00317;CPD-7043
cpd00272,InChI,modified,Structure,"InChI=1S/C16H25N5O15P2/c1-4-7(22)9(24)11(26)15(33-4)35-38(30,31)36-37(28,29)32-2-5-8(23)10(25)14(34-5)21-3-18-6-12(21)19-16(17)20-13(6)27/h3-5,7-11,14-15,22-26H,2H2,1H3,(H,28,29)(H,30,31)(H3,17,19,20,27)/p-2/t4-,5+,7+,8+,9+,10+,11-,14+,15-/m0/s1","InChI=1S/C16H25N5O15P2/c1-4-7(22)9(24)11(26)15(33-4)35-38(30,31)36-37(28,29)32-2-5-8(23)10(25)14(34-5)21-3-18-6-12(21)19-16(17)20-13(6)27/h3-5,7-11,14-15,22-26H,2H2,1H3,(H,28,29)(H,30,31)(H3,17,19,20,27)/p-2/t4-,5+,7+,8+,9+,10+,11-,14+,15+/m0/s1"
cpd00272,InChIKey,modified,Structure,LQEBEXMHBLQMDB-VJDKUWHASA-L,LQEBEXMHBLQMDB-JGQUBWHWSA-L
cpd00272,SMILE,modified,Structure,C[C@@H]1O[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,C[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
cpd00280,InChI,modified,Structure,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/p-1/t1-,2+,3+,4-,6?/m0/s1","InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h1-5,8-11H,(H,12,13)/p-1/t2-,3+,4+,5-/m0/s1"
cpd00280,InChIKey,modified,Structure,AEMOLEFTQBMNLQ-YMDCURPLSA-M,IAJILQKETJEXLJ-RSJOWCBRSA-M
cpd00280,SMILE,modified,Structure,O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-]
cpd00309,InChI,added,,,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)"
cpd00309,InChIKey,added,,,LRFVTYWOQMYALW-UHFFFAOYSA-N
cpd00309,SMILE,added,,,O=c1[nH]c(O)c2[n-]cnc2[nH+]1
cpd00313,InChI,added,,,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H/p-2"
cpd00313,InChIKey,added,,,REFJWTPEDVJJIY-UHFFFAOYSA-L
cpd00313,SMILE,added,,,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc([O-])cc([O-])c12
cpd00361,InChI,modified,Structure,"InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3/t3-/m0/s1","InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3"
cpd00361,InChIKey,modified,Structure,ROWKJAVDOGWPAT-VKHMYHEASA-N,ROWKJAVDOGWPAT-UHFFFAOYSA-N
cpd00361,SMILE,modified,Structure,CC(=O)[C@H](C)O,CC(=O)C(C)O
cpd00368,InChI,modified,Structure,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3+,4+,5?/m1/s1","InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4-,5-/m1/s1"
cpd00368,InChIKey,modified,Structure,SRBFZHDQGSBBOR-AGQMPKSLSA-N,PYMYPHUHKUWMLA-UOWFLXDJSA-N
cpd00368,SMILE,modified,Structure,OC1OC[C@@H](O)[C@H](O)[C@@H]1O,O=C[C@@H](O)[C@@H](O)[C@H](O)CO
cpd00397,InChI,modified,Structure,"InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4-,5?/m0/s1","InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h3,5-8,10H,1-2H2/t3-,5-/m0/s1"
cpd00397,InChIKey,modified,Structure,LQXVFWRQNMEDEE-QRHDOFTISA-N,ZAQJHHRNXZUBTE-UCORVYFPSA-N
cpd00397,SMILE,modified,Structure,OCC1(O)OC[C@H](O)[C@@H]1O,O=C(CO)[C@@H](O)[C@@H](O)CO
cpd00423,InChI,modified,Aliases,16304;CPD-1829,16304;C00541;CPD-1829
cpd00423,InChI,modified,Formula,C62H87CoN13O14P,C62H90CoN13O14P
cpd00423,InChI,modified,Charge,-1,2
cpd00423,InChIKey,modified,Aliases,16304;CPD-1829,16304;C00541;CPD-1829
cpd00423,InChIKey,modified,Formula,C62H87CoN13O14P,C62H90CoN13O14P
cpd00423,InChIKey,modified,Charge,-1,2
cpd00423,SMILE,modified,Aliases,16304;CPD-1829,16304;C00541;CPD-1829
cpd00423,SMILE,modified,Formula,C62H87CoN13O14P,C62H90CoN13O14P
cpd00423,SMILE,modified,Charge,-1,2
