cpd_id	result_type	field	old_value	new_value	pubchem_cid	strategy	query
cpd00121	STEREO_DIFF	SMILE	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	C1(C(C(C(C(C1O)O)O)O)O)O	892	chebi_xref	CHEBI:17268
cpd00121	STEREO_DIFF	InChIKey	CDAISMWEOUEBRE-GPIVLXJGSA-N	CDAISMWEOUEBRE-UHFFFAOYSA-N	892	chebi_xref	CHEBI:17268
cpd00121	STEREO_DIFF	InChI	InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-	InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H	892	chebi_xref	CHEBI:17268
cpd00143	MISMATCH	SMILE	O=C([O-])C(=O)Cc1ccccc1	C1=CC=C(C=C1)C=C(C(=O)O)[O-]	54711002	chebi_xref	CHEBI:16815
cpd00143	MISMATCH	InChIKey	BTNMPGBKDVTSJY-UHFFFAOYSA-M	DEDGUGJNLNLJSR-UHFFFAOYSA-M	54711002	chebi_xref	CHEBI:16815
cpd00143	MISMATCH	InChI	InChI=1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,11,12)/p-1	InChI=1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-6,10H,(H,11,12)/p-1	54711002	chebi_xref	CHEBI:16815
cpd00151	MISMATCH	SMILE	CC1C=NC(=O)NC1=O	CC1=CNC(=O)NC1=O	1135	chebi_xref	CHEBI:17821
cpd00151	MISMATCH	InChIKey	UUHVJQQFVHPOGR-UHFFFAOYSA-N	RWQNBRDOKXIBIV-UHFFFAOYSA-N	1135	chebi_xref	CHEBI:17821
cpd00151	MISMATCH	InChI	InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2-3H,1H3,(H,7,8,9)	InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)	1135	chebi_xref	CHEBI:17821
cpd00166	MISMATCH	SMILE	C/C1=C2/N([Co+]C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)C([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4cc(C)c(C)cc43)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\[NH+]=C(/C=C4\[NH+]=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O	CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\4([C@H](C5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-][C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co+3]	24892716	kegg_xref	C00194
cpd00166	MISMATCH	InChIKey	ZIHHMGTYZOSFRC-QRVZQHAISA-N	OAJLVMGLJZXSGX-QRVZQHAISA-L	24892716	kegg_xref	C00194
cpd00166	MISMATCH	InChI	InChI=1S/C62H90N13O14P.C10H12N5O3.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);2-4,6-7,10,16-17H,1H2,(H2,11,12,13);/q;;+2/t31-,34-,35-,36-,37+,41-,52-,53-,56?,57+,59-,60+,61+,62+;4-,6-,7-,10-;/m11./s1	InChI=1S/C62H90N13O14P.C10H12N5O3.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);2-4,6-7,10,16-17H,1H2,(H2,11,12,13);/q;-1;+3/p-2/t31-,34-,35-,36-,37+,41-,52-,53-,56?,57+,59-,60+,61+,62+;4-,6-,7-,10-;/m11./s1	24892716	kegg_xref	C00194
cpd00204	MISMATCH	SMILE	C#[O+]	[C-]#[O+]	281	chebi_xref	CHEBI:17245
cpd00204	MISMATCH	InChIKey	XPRMKTHGXOVKEH-UHFFFAOYSA-N	UGFAIRIUMAVXCW-UHFFFAOYSA-N	281	chebi_xref	CHEBI:17245
cpd00204	MISMATCH	InChI	InChI=1S/CHO/c1-2/h1H/q+1	InChI=1S/CO/c1-2	281	chebi_xref	CHEBI:17245
cpd00219	STEREO_DIFF	SMILE	O=C([O-])C(=O)C[C@]1(C(=O)[O-])C=C[C@@H](O)C=C1	C1=CC(C=CC1O)(CC(=O)C(=O)[O-])C(=O)[O-]	5460303	chebi_xref	CHEBI:29934
cpd00219	STEREO_DIFF	InChIKey	FPWMCUPFBRFMLH-XGAOUMNUSA-L	FPWMCUPFBRFMLH-UHFFFAOYSA-L	5460303	chebi_xref	CHEBI:29934
cpd00219	STEREO_DIFF	InChI	InChI=1S/C10H10O6/c11-6-1-3-10(4-2-6,9(15)16)5-7(12)8(13)14/h1-4,6,11H,5H2,(H,13,14)(H,15,16)/p-2/t6-,10+	InChI=1S/C10H10O6/c11-6-1-3-10(4-2-6,9(15)16)5-7(12)8(13)14/h1-4,6,11H,5H2,(H,13,14)(H,15,16)/p-2	5460303	chebi_xref	CHEBI:29934
cpd00247	MISMATCH	SMILE	O=C1CC(C(=O)[O-])=NC(=O)N1	C1=C(NC(=O)NC1=O)C(=O)[O-]	1492348	chebi_xref	CHEBI:30839
cpd00247	MISMATCH	InChIKey	WAKGPBXZGKVQRR-UHFFFAOYSA-M	PXQPEWDEAKTCGB-UHFFFAOYSA-M	1492348	chebi_xref	CHEBI:30839
cpd00247	MISMATCH	InChI	InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H2,(H,9,10)(H,7,8,11)/p-1	InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)/p-1	1492348	chebi_xref	CHEBI:30839
cpd00248	STEREO_DIFF	SMILE	O=C([O-])[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1	C1[C@H](C([C@@H](CC1(C(=O)[O-])O)O)O)O	1560034	chebi_xref	CHEBI:29751
cpd00248	STEREO_DIFF	InChIKey	AAWZDTNXLSGCEK-WYWMIBKRSA-M	AAWZDTNXLSGCEK-LNVDRNJUSA-M	1560034	chebi_xref	CHEBI:29751
cpd00248	STEREO_DIFF	InChI	InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/p-1/t3-,4-,5-,7+/m1/s1	InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/p-1/t3-,4-,5?,7?/m1/s1	1560034	chebi_xref	CHEBI:29751
cpd00250	MISMATCH	SMILE	CN(CC(=O)[O-])C(N)=[NH2+]	C[N+](=C(N)N)CC(=O)[O-]	7058172	chebi_xref	CHEBI:57947
cpd00250	MISMATCH	InChIKey	CVSVTCORWBXHQV-UHFFFAOYSA-N	WXOFJMWQRNARBH-UHFFFAOYSA-N	7058172	chebi_xref	CHEBI:57947
cpd00250	MISMATCH	InChI	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H4,5,6,8,9)	7058172	chebi_xref	CHEBI:57947
