cpd_id	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles
cpd00002	CHEBI:30616	chebi_xref	PROTONATION_DIFF	ZKHQWZAMYRWXGA-KQYNXXCUSA-K	ZKHQWZAMYRWXGA-KQYNXXCUSA-J	5461108	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	
cpd00008	CHEBI:456216	chebi_xref	PROTONATION_DIFF	XTWYTFMLZFPYCI-KQYNXXCUSA-L	XTWYTFMLZFPYCI-KQYNXXCUSA-K	7058055	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	
cpd00014	CHEBI:58223	chebi_xref	PROTONATION_DIFF	XCCTYIAWTASOJW-XVFCMESISA-L	XCCTYIAWTASOJW-XVFCMESISA-K	20056717	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	
cpd00015	CHEBI:57692	chebi_xref	PROTONATION_DIFF	VWWQXMAJTJZDQX-UYBVJOGSSA-L	VWWQXMAJTJZDQX-UYBVJOGSSA-K	46906035	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	
cpd00031	CHEBI:58189	chebi_xref	PROTONATION_DIFF	QGWNDRXFNXRZMB-UUOKFMHZSA-L	QGWNDRXFNXRZMB-UUOKFMHZSA-K	135398618	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	
cpd00038	CHEBI:37565	chebi_xref	PROTONATION_DIFF	XKMLYUALXHKNFT-UUOKFMHZSA-K	XKMLYUALXHKNFT-UUOKFMHZSA-J	135398632	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	
cpd00042	CHEBI:57925	chebi_xref	PROTONATION_DIFF	RWSXRVCMGQZWBV-WDSKDSINSA-L	RWSXRVCMGQZWBV-WDSKDSINSA-M	7048684	[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]	
cpd00043	C00052	kegg_xref	PROTONATION_DIFF	HSCJRCZFDFQWRP-WBRQRZOHSA-L	HSCJRCZFDFQWRP-WBRQRZOHSA-N	23724458	O=c1ccn(C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	
cpd00050	CHEBI:58210	chebi_xref	PROTONATION_DIFF	FVTCRASFADXXNN-SCRDCRAPSA-L	FVTCRASFADXXNN-SCRDCRAPSA-K	44229199	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C	
cpd00052	CHEBI:37563	chebi_xref	PROTONATION_DIFF	PCDQPRRSZKQHHS-XVFCMESISA-K	PCDQPRRSZKQHHS-XVFCMESISA-J	7058166	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1	
