cpd_id	compound_name	result_type	reason	pubchem_cid	strategy	query	stored_smiles	pubchem_smiles	stored_inchikey	pubchem_inchikey
cpd06969	5,7,2',4',5'-Pentahydroxyflavone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C15H9O7, pubchem=C7H7F3N2O) — requires manual review	5194226	kegg_xref	C10079	O=c1cc(-c2cc(O)c(O)cc2O)oc2cc([O-])cc(O)c12	C1=CC(=CC(=C1)OC(F)(F)F)NN	DSNIERNBMAVNJI-UHFFFAOYSA-M	PGUYGXWLFYYEFI-UHFFFAOYSA-N
cpd06970	Mangostin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C24H24O6, pubchem=C5H8N2O) — requires manual review	258806	kegg_xref	C10080	COc1c([O-])cc2oc3cc([O-])c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C	CCOC(=NC#N)C	GNRIZKKCNOBBMO-UHFFFAOYSA-L	PLVWUINOWYHRAA-UHFFFAOYSA-N
cpd06973	1,8-Dihydroxy-2,6-dimethoxyxanthone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C15H11O6, pubchem=C5H3FN2O4) — requires manual review	69711	kegg_xref	C10083	COc1cc([O-])c2c(=O)c3c(O)c(OC)ccc3oc2c1	C1(=C(NC(=O)NC1=O)C(=O)O)F	PUECEVJMPDNNHT-UHFFFAOYSA-M	SEHFUALWMUWDKS-UHFFFAOYSA-N
cpd06976	1,3,6,7-Tetrahydroxyxanthone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C13H6O6, pubchem=C7H6O2S) — requires manual review	95737	kegg_xref	C10086	O=c1c2cc(O)c([O-])cc2oc2cc([O-])cc(O)c12	C1=CC(=CC(=C1)S)C(=O)O	ZHTQCPCDXKMMLU-UHFFFAOYSA-L	RSFDFESMVAIVKO-UHFFFAOYSA-N
cpd06977	1,3,6-Trihydroxy-8-methyl-9H-xanthen-9-one	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C14H8O5, pubchem=C8H14Cl2N2O2) — requires manual review	10664	kegg_xref	C10087	Cc1cc([O-])cc2oc3cc([O-])cc(O)c3c(=O)c12	CC1=NC=C(C(=C1O)CN)CO.Cl.Cl	AQZHBCDRWFMXIN-UHFFFAOYSA-L	HNWCOANXZNKMLR-UHFFFAOYSA-N
cpd06979	Norswertianolin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C19H17O11, pubchem=C22H30O3) — requires manual review	19090	kegg_xref	C10089	O=c1c2c(O)cc([O-])cc2oc2c(O)ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c12	CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C	MYWLBRTZOYHDOU-FJMCMGCSSA-M	VXIMPSPISRVBPZ-NWUMPJBXSA-N
cpd06981	3,5-Dimethoxy-1,8-dihydroxyxanthone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C15H11O6, pubchem=C6H7NO2) — requires manual review	4362	kegg_xref	C10091	COc1cc([O-])c2c(=O)c3c(O)ccc(OC)c3oc2c1	CCN1C(=O)C=CC1=O	GNSHHHWDGOHNPC-UHFFFAOYSA-M	HDFGOPSGAURCEO-UHFFFAOYSA-N
cpd06986	8-Hydroxyapigenin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C15H9O6, pubchem=C12H17NO) — requires manual review	140672	kegg_xref	C10097	O=c1cc(-c2ccc(O)cc2)oc2c(O)c([O-])cc(O)c12	CC(=O)NC1=CC=C(C=C1)C(C)(C)C	NXHQVROAKYDSNW-UHFFFAOYSA-M	RMUYDDKCUZHVHY-UHFFFAOYSA-N
cpd06989	Kuwanone H	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C45H42O11, pubchem=CdCl2) — requires manual review	24947	kegg_xref	C10100	CC(C)=CCc1c(O)ccc(C(=O)[C@@H]2[C@@H](c3c([O-])cc([O-])c4c(=O)c(CC=C(C)C)c(-c5ccc(O)cc5O)oc34)C=C(C)C[C@H]2c2ccc(O)cc2O)c1O	Cl[Cd]Cl	DKBPTKFKCCNXNH-QXGWMLRCSA-L	YKYOUMDCQGMQQO-UHFFFAOYSA-L
cpd06991	Lucenin-2	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C27H28O16, pubchem=C8H12O2) — requires manual review	79113	kegg_xref	C10102	O=c1cc(-c2ccc(O)c(O)c2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c([O-])c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c([O-])c12	C1CC2CC1CC2C(=O)O	ZLPSOQFIIQIIAX-VQVVXJKKSA-L	JESWDXIHOJGWBP-UHFFFAOYSA-N
cpd06995	Morusin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C25H23O6, pubchem=C5H13Cl2N) — requires manual review	13836	kegg_xref	C10106	CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c3c(cc([O-])c2c1=O)OC(C)(C)C=C3	C[N+](C)(C)CCCl.[Cl-]	XFFOMNJIDRDDLQ-UHFFFAOYSA-M	UHZZMRAGKVHANO-UHFFFAOYSA-M
