cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles	mismatch_detail
cpd09656	CGS 7181	C13836	kegg_xref	MISMATCH	HHZWHXHTVABHTP-UHFFFAOYSA-N	YMEXYIFTFLKKQK-UHFFFAOYSA-N	656759	CCOC(=O)C1C(=O)N(C(=O)Nc2ccc(C)cc2)c2cc(C(F)(F)F)ccc21	CCOC(=O)C1=C(N(C2=C1C=CC(=C2)C(F)(F)F)C(=O)NC3=CC=C(C=C3)C)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd10327	17beta-Hydroxy-2-hydroxymethylene-5alpha-androstan-3-one	C14628	kegg_xref	MISMATCH	YIWMQGFUDMPIHR-YNZDMMAESA-N	DKCLFTBKKHWBQS-CVEXGSQQSA-N	5355012	C[C@]12CC(C=O)=C(O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4[C@@]3(C/C(=C/O)/C(=O)C4)C	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd10542	4-Bromophenol-2,3-epoxide	C14845	kegg_xref	MISMATCH	AXBNSRXSRRJVIX-UHFFFAOYSA-N	NIXDKVLCYSTGRG-UHFFFAOYSA-N	11954064	O=C1CC=C(Br)C2OC12	C1=C(C2C(O2)C(=C1)Br)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd10820	2,17beta-Dihydroxy-17-methylandrosta-1,4-dien-3-one	C15126	kegg_xref	MISMATCH	FGTXISRRKAWTCP-LUCRAQOWSA-N	LWCFGFNTFZFVOY-LUCRAQOWSA-N	16818	C[C@]12CC(=O)C(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C(=C[C@]34C)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd20782	C.I. Solvent Red 23	C19527	kegg_xref	MISMATCH	XYWSVVUQWNOHIU-KAJPWYIYSA-N	FHNINJWBTRXEBC-UHFFFAOYSA-N	62331	O=C1C=Cc2ccccc2C1=NN=C1C=CC(=NNc2ccccc2)C=C1	C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd22006	3-deazaadenine	3-deazaadenine	name_lookup	MISMATCH	QIBLFAMJLVFXAT-UHFFFAOYSA-N	UHUHBFMZVCOEOV-UHFFFAOYSA-N	418745	Nc1[nH]ccc2ncnc1-2	C1=CN=C(C2=C1NC=N2)N	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd22605	4-hydroxy-5-methyl-2-propyl-3(2H)-furanone	HMPF	name_lookup	MISMATCH	YVWGXFKKGSQSAP-UHFFFAOYSA-N	DBYQGTLFSQKPCA-UHFFFAOYSA-N	12730529	CCCC1OC(C)C(=O)C1=O	CCCC1C(=O)C(=C(O1)C)O	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd22821	4-O-phosphohygromycin	4-O-phosphohygromycin	name_lookup	MISMATCH	SYTZKXOAVUXHFS-JEXNNBSLSA-O	DOGWFBOMPMPJRR-JDVAIWFUSA-O	44123391	C[NH2+][C@H]1C[C@@H]([NH3+])[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3OC4(O[C@H]23)O[C@H]([C@H]([NH3+])CO)[C@H](O)[C@H](O)[C@H]4O)[C@@H]1OP(=O)([O-])[O-]	C[NH2+][C@H]1C[C@H]([C@@H]([C@H]([C@@H]1O)O[C@H]2[C@@H]3[C@H]([C@H]([C@H](O2)CO)O)OC4(O3)[C@H]([C@@H]([C@@H](C(O4)[C@@H](CO)[NH3+])O)O)O)OP(=O)([O-])[O-])[NH3+]	IGNORE:likely_tautomer (tanimoto=0.90, same formula, high structural similarity — likely resonance/tautomer not caught by RDKit enumerator)
cpd15072	1,7-Dimethyluric acid	C16356	kegg_xref	MISMATCH	XRPUBUICAWUBRI-UHFFFAOYSA-N	NOFNCLGCUJJPKU-UHFFFAOYSA-N	91611	Cn1c(O)c2c(nc1=O)[nH]c(=O)n2C	CN1C2=C(NC1=O)NC(=O)N(C2=O)C	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
cpd15073	3,7-dihydro-3-methyl-1H-purine-2,6-dione	CHEBI:62208	chebi_xref	MISMATCH	HZOGTQYZAZGBAB-UHFFFAOYSA-N	GMSNIKWWOQHZGF-UHFFFAOYSA-N	70639	Cn1c(O)nc(O)c2ncnc1-2	CN1C2=C(C(=O)NC1=O)NC=N2	IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance)
