compound_id,frequency,name
cpd00067,26359,H+
cpd00001,17846,H2O
cpd00007,7109,O2
cpd00006,4418,NADP
cpd00005,4409,NADPH
cpd00002,4007,ATP
cpd00010,3299,CoA
cpd00009,3242,Phosphate
cpd00003,3196,NAD
cpd00004,3105,NADH
cpd00008,2894,ADP
cpd00011,2758,CO2
cpd00012,2424,PPi
cpd00014,2105,UDP
cpd00017,1877,S-Adenosyl-L-methionine
cpd00019,1672,S-Adenosyl-homocysteine
cpd00018,1394,AMP
cpd26978,1330,Donor-H2
cpd22290,967,Acceptor
cpd00013,956,NH3
cpd00022,827,Acetyl-CoA
cpd11493,825,ACP
cpd00025,824,H2O2
cpd00024,792,2-Oxoglutarate
cpd11630,768,Flavin
cpd21035,767,Reduced flavin
cpd00026,748,UDP-glucose
cpd42231,638,reduced [NADPH--hemoprotein reductase]
cpd42232,638,oxidized [NADPH--hemoprotein reductase]
cpd00036,616,Succinate
cpd00070,601,Malonyl-CoA
cpd00023,580,L-Glutamate
cpd00020,533,Pyruvate
cpd00031,503,GDP
cpd00046,455,CMP
cpd27638,442,NAD-P-OR-NOP
cpd27640,439,NADH-P-OR-NOP
cpd00027,420,D-Glucose
cpd28204,401,Sulfur-Acceptors
cpd00029,397,Acetate
cpd28082,392,Reduced-ferredoxins
cpd27757,388,Oxidized-ferredoxins
cpd00042,321,GSH
cpd00033,313,Glycine
cpd00060,304,L-Methionine
cpd11609,301,A
cpd00047,300,Formate
cpd11610,299,AH2
cpd00099,298,Cl-
cpd00037,296,UDP-N-acetylglucosamine
cpd00015,289,FAD
cpd00982,278,FADH2
cpd00971,277,Na+
cpd00350,275,Farnesyldiphosphate
cpd00055,273,Formaldehyde
cpd11492,251,Malonyl-acyl-carrierprotein-
cpd00045,249,Adenosine 3-5-bisphosphate
cpd28293,244,UDP-GLUCOSE
cpd00035,236,L-Alanine
cpd00043,235,UDP-galactose
cpd00190,229,beta-D-Glucose
cpd00080,225,Glycerol-3-phosphate
cpd00044,215,3-phosphoadenylylsulfate
cpd00038,211,GTP
cpd00054,207,L-Serine
cpd00075,204,Nitrite
cpd00084,202,L-Cysteine
cpd00083,201,GDP-mannose
cpd12713,199,e-
cpd00049,198,Carboxylic acid
cpd00134,186,Palmitoyl-CoA
cpd00214,184,Palmitate
cpd27029,183,FERRICYTOCHROME-B5
cpd27031,180,FERROCYTOCHROME-B5
cpd00144,178,UDPglucuronate
cpd00048,178,Sulfate
cpd30770,178,UDP-D-galactopyranose
cpd03091,176,5'-Deoxyadenosine
cpd41769,176,oxidized [2Fe-2S]-[ferredoxin]
cpd41770,176,reduced [2Fe-2S]-[ferredoxin]
cpd00081,175,Sulfite
cpd00239,171,H2S
cpd00052,170,CTP
cpd00297,166,dTDP
cpd00100,155,Glycerol
cpd11620,154,Reducedferredoxin
cpd00053,153,L-Glutamine
cpd11621,153,Oxidizedferredoxin
cpd00536,149,Oleate
cpd19001,149,alpha-D-Glucose
cpd00112,148,CMP-N-acetylneuraminate
cpd41998,145,Fe(II)-[cytochrome b5]
cpd41999,144,Fe(III)-[cytochrome b5]
cpd02229,139,Bactoprenyl diphosphate
cpd00040,137,Glyoxalate
cpd00069,135,L-Tyrosine
cpd00051,134,L-Arginine
cpd00039,133,L-Lysine
cpd00059,130,L-Ascorbate
cpd00116,128,Methanol
cpd00188,127,Arachidonate
cpd00089,126,Glucose-1-phosphate
cpd00202,125,DMAPP
cpd00041,124,L-Aspartate
cpd00108,124,Galactose
cpd11423,124,"1,2-Diacyl-sn-glycerol"
cpd00066,121,L-Phenylalanine
cpd00117,120,D-Alanine
cpd00091,119,UMP
cpd00095,117,Glycerone-phosphate
cpd00160,117,Cholesterol
cpd00061,116,Phosphoenolpyruvate
cpd00032,116,Oxaloacetate
cpd00065,115,L-Tryptophan
cpd00086,115,Propionyl-CoA
cpd00113,113,Isopentenyldiphosphate
cpd00399,111,Oleoyl-CoA
cpd00289,110,Geranylgeranyl diphosphate
cpd23744,110,GDP-beta-L-fucose
cpd00076,109,Sucrose
cpd11640,109,H2
cpd10515,108,Fe+2
cpd00071,108,Acetaldehyde
cpd01080,108,ocdca
cpd00327,106,strcoa
cpd00082,105,D-Fructose
cpd00098,103,Choline
cpd15561,102,Ubiquinol-8
cpd27934,102,Protein-Histidines
cpd01695,101,Myristoyl-CoA
cpd15560,101,Ubiquinone-8
cpd00162,100,Aminoethanol
cpd00050,98,FMN
cpd00106,96,Fumarate
cpd00192,93,4-Coumaroyl-CoA
cpd27355,93,L-Cysteine-Desulfurases
cpd00209,89,Nitrate
cpd00283,89,Geranyldiphosphate
cpd00130,88,L-Malate
cpd00794,87,TRHL
cpd01061,87,Geranial
cpd03847,87,Myristic acid
cpd00133,86,Nicotinamide
cpd01270,86,FMNH2
cpd00087,85,Tetrahydrofolate
cpd27011,85,ETR-Quinols
cpd00062,84,UTP
cpd00129,84,L-Proline
cpd00266,84,Carnitine
cpd01122,84,Linoleate
cpd11855,84,RH
cpd27012,84,ETR-Quinones
cpd00204,83,CO
cpd00126,83,GMP
cpd00107,83,L-Leucine
cpd26784,83,Cytochromes-C-Oxidized
cpd09079,82,Decanal
cpd27058,82,Fatty-Acids
cpd00110,81,Cytochrome c2+
cpd00268,81,H2S2O3
cpd26785,81,Cytochromes-C-Reduced
cpd00102,80,Glyceraldehyde3-phosphate
cpd12576,80,Reduced electron-transferring flavoprotein
cpd06739,80,(R)-(+)-Citronellal
cpd08238,80,(S)-(-)-Citronellal
cpd00064,79,Ornithine
cpd02533,79,1-Palmitoylglycerophosphocholine
cpd00137,78,Citrate
cpd23440,78,4-isopropylcyclohexenecarbaldehyde
cpd00121,77,L-Inositol
cpd11624,77,Lecithin
cpd00057,76,Alcohol
cpd00519,76,D-methylmalonyl-CoA
cpd00163,76,UDP-xylose
cpd00078,75,Succinyl-CoA
cpd00161,75,L-Threonine
cpd00517,75,1-Acyl-sn-glycerol 3-phosphate
cpd29533,75,PTSH-PHOSPHORYLATED
cpd00242,74,H2CO3
cpd11420,74,trdox
cpd11619,74,Dolichyl phosphate
cpd00136,73,4-Hydroxybenzoate
cpd27006,73,ETF-Reduced
cpd27005,73,ETF-Oxidized
cpd00109,72,Cytochrome c3+
cpd00179,72,Maltose
cpd00418,72,NO
cpd00221,72,D-Lactate
cpd00363,72,Ethanol
cpd00703,72,Indoleacetate
cpd00147,71,5-Methylthioadenosine
cpd39599,71,"a 1,2-diacyl-sn-glycerol"
cpd01741,70,ddca
cpd43296,70,L-lysyl-[protein]
cpd00122,68,N-Acetyl-D-glucosamine
cpd00079,68,D-glucose-6-phosphate
cpd11611,68,Acyl-CoA
cpd36163,68,Peptides-holder
cpd11632,67,hn
cpd27839,67,Peptides
cpd22234,66,ACYL-COA
cpd00159,65,L-Lactate
cpd00187,65,Methanamine
cpd00232,65,Neu5Ac
cpd01260,65,Lauroyl-CoA
cpd15269,65,octadecenoate
cpd00111,64,Oxidized glutathione
cpd00094,64,2-Oxobutyrate
cpd00138,64,D-Mannose
cpd00119,63,L-Histidine
cpd10516,62,Fe+3
cpd00156,62,L-Valine
cpd00322,62,L-Isoleucine
cpd00507,61,Glycerophosphocholine
cpd00709,61,beta D-Galactose
cpd35508,61,UDP-GalNAc
cpd00028,60,Heme
cpd00115,60,dATP
cpd11723,60,Reduced adrenodoxin
cpd11724,60,Oxidized adrenodoxin
cpd42062,60,oxidized [electron-transfer flavoprotein]
cpd00101,59,ribose-5-phosphate
cpd00175,59,UDP-N-acetyl-D-galactosamine
cpd40011,59,an acyl-CoA
cpd00096,58,CDP
cpd02246,58,CoM
cpd00599,57,SALC
cpd00093,57,Anthranilate
cpd00241,57,dGTP
cpd04098,57,Arsenite
cpd03851,57,Eicosapentaenoic acid
cpd27735,57,Ox-Thioredoxin
