id	class	signature	redox	ec_class	n_species	definition
rxn00008	charge_only	charge:+2	H2O2	1	3	(2) H2O[0] <= (1) H2O2[0] + (2) H+[0]
rxn00027	charge_only	charge:+8		4	3	(1) Cyclobutadipyrimidine[0] <=> (8) H+[0] + (2) Pyrimidine 5'-deoxynucleotide[0]
rxn00059	charge_only	charge:-4	O2	1	5	(1) O2[0] + (4) H+[0] + (4) Benzenediol[0] <=> (2) H2O[0] + (4) Quinol[0]
rxn00082	charge_only	charge:+4	NADP+NADPH+NO+O2	1	7	(1) NADPH[0] + (1) O2[0] + (2) N-(omega)-Hydroxyarginine[0] <=> (1) NADP[0] + (5) H+[0] + (2) Citrulline[0] + (2) NO[0]
rxn00091	charge_only	charge:-2	O2	1	5	(1) H2O[0] + (1) O2[0] + (2) S[0] => (1) Sulfite[0] + (1) H2S[0]
rxn00112	charge_only	charge:-2	NH3+O2	1	5	(1) O2[0] + (1) NH3[0] + (1) H+[0] => (1) H2O[0] + (1) Hydroxylamine[0]
rxn00115	H_O_charge	H:-3,O:-2,charge:-1	NH3		3	(1) CO2[0] + (1) NH3[0] <=> (1) HCN[0]
rxn00261	charge_only	charge:+4	NH3+O2	1	6	(1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) Oxaloacetate[0] <= (2) O2[0] + (4) H+[0] + (1) 5-(2'-Carboxyethyl)-4,6-dihydrox
rxn00277	skeleton:C	C:-1,H:-4,O:-2			2	(1) Glycine[0] <=> (1) HCN[0]
rxn00296	skeleton:C,N,P	C:+11,H:+22,N:+2,O:+1,P:-2,charge:+2			2	(1) UDP-N-acetylglucosamine[0] <=> (1) Glycoprotein[0]
rxn00353	charge_only	charge:+2		1	2	(2) GSH[0] => (1) Oxidized glutathione[0]
rxn00431	charge_only	charge:+2	NH3	1	5	(1) H2O[0] + (1) Methanamine[0] => (1) NH3[0] + (1) Formaldehyde[0] + (2) H+[0]
rxn00447	charge_only	charge:+1		1	3	(1) L-Ascorbate[0] <=> (3) H+[0] + (1) Ascorbate radical[0]
rxn00496	skeleton:C	C:-1,H:-2,O:-1		1	2	(1) L-Phenylalanine[0] <= (1) 2-Phenylacetamide[0]
rxn00524	charge_only	charge:-2	O2	1	5	(1) O2[0] + (2) H+[0] + (1) L-Tyrosine[0] => (1) H2O[0] + (1) L-Dopa[0]
rxn00574	charge_only	charge:+2	NO2		4	(1) H2O[0] + (1) Nitrite[0] <=> (3) H+[0] + (1) Nitrate[0]
rxn00590	charge_only	charge:+2	NAD+NADH+O2	1	6	(1) NADH[0] + (1) O2[0] + (1) Benzoate[0] => (1) NAD[0] + (1) CO2[0] + (1) Catechol[0]
rxn00597	charge_only	charge:-2	NADP+NADPH+NO2+O2	1	8	(1) NADPH[0] + (1) O2[0] + (4) H+[0] + (1) 2-Nitrophenol[0] <=> (1) H2O[0] + (1) NADP[0] + (1) Nitrite[0] + (1) Catechol
rxn00664	skeleton:C	C:+4,H:-4,O:+2,charge:-2			2	(1) beta-Alanine[0] => (1) Quinolinate[0]
rxn00665	H_O_charge	H:-3,O:+2,charge:-1			2	(1) beta-Alanine[0] <=> (1) beta-Nitropropanoate[0]
rxn00666	skeleton:N	N:+1,O:-2,charge:+1			2	(1) beta-Alanine[0] <= (1) 3-Aminopropiononitrile[0]
rxn00667	H_O_charge	H:+16,O:-1,charge:+6		2	5	(1) Propionyl-CoA[0] + (6) Methylmalonyl-CoA[0] <=> (7) CoA[0] + (6) CO2[0] + (1) 6-Deoxyerythronolide B[0]
rxn00681	skeleton:C,N,P,S	C:-21,H:-31,N:-7,O:-15,P:-3,S:-1,charge:+3			3	(1) Glyoxalate[0] + (1) Propionyl-CoA[0] <= (1) 2-Hydroxyglutarate[0]
rxn00685	charge_only	charge:+2	NAD+NADH	1	5	(1) NAD[0] + (1) Tetrahydrofolate[0] => (1) NADH[0] + (3) H+[0] + (1) Folate[0]
rxn00687	charge_only	charge:+2	NADP+NADPH	1	5	(1) NADP[0] + (1) Tetrahydrofolate[0] => (1) NADPH[0] + (3) H+[0] + (1) Folate[0]
rxn00689	skeleton:C,N	C:+5,H:+6,N:+1,O:+3,charge:-1		6	7	(1) ATP[0] + (1) L-Glutamate[0] + (1) Tetrahydrofolate[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) THF-L-glut
rxn00732	skeleton:C	C:+3,H:+2,O:+2			2	(1) Anthranilate[0] => (1) 2-Formaminobenzoylacetate[0]
rxn00733	skeleton:C,N	C:+3,H:+4,N:+1,O:-1,charge:+1			2	(1) Anthranilate[0] <=> (1) Indole-3-acetaldoxime[0]
rxn00750	charge_only	charge:-12			4	(14) H+[0] + (1) Pyrroloquinoline-quinone[0] <= (1) L-Glutamate[0] + (1) Dopaquinone[0]
rxn00759	skeleton:Cl	Cl:-1,charge:+1	NH3	4	5	(1) H2O[0] + (1) 3-Chloro-D-alanine[0] <=> (1) NH3[0] + (1) Pyruvate[0] + (1) H+[0]
rxn00760	skeleton:Cl	Cl:+1,charge:-1	NH3		5	(1) NH3[0] + (1) Pyruvate[0] + (1) H+[0] <=> (1) H2O[0] + (1) 3-Chloro-L-alanine[0]
rxn00761	skeleton:Cl	Cl:-1,H:+1,charge:+2	NAD+NADH+O2	1	6	(1) NADH[0] + (1) O2[0] + (1) 2-Chlorobenzoate[0] => (1) NAD[0] + (1) CO2[0] + (1) Catechol[0]
rxn00809	charge_only	charge:-4	NAD+NADH	1	5	(1) NAD[0] + (3) H+[0] + (1) Galactose[0] <= (1) NADH[0] + (1) Dulcose[0]
rxn00811	charge_only	charge:-4	NADP+NADPH	1	5	(1) NADP[0] + (3) H+[0] + (1) Galactose[0] <= (1) NADPH[0] + (1) Dulcose[0]
rxn00828	skeleton:C,N,P	C:+8,H:+18,N:+1,O:+2,P:-1,charge:+2			2	(1) CMP-N-acetylneuraminate[0] <=> (1) Glycoprotein[0]
rxn00969	skeleton:Cl	Cl:-1,charge:+1		3	4	(1) H2O[0] + (1) 4-Chlorobenzoate[0] <=> (1) H+[0] + (1) 4-Hydroxybenzoate[0]
rxn01040	oxygen_only	O:+1			2	(1) Benzoate[0] => (1) 3-Hydroxybenzoate[0]
rxn01047	skeleton:C,N	C:-1,H:-6,N:-1,O:+1,charge:-1			2	(1) L-Valine[0] => (1) 3-Oxo-2-methylpropanoate[0]
rxn01120	skeleton:C,N,P	C:+11,H:+22,N:+2,O:+1,P:-2,charge:+2			2	(1) UDP-N-acetyl-D-galactosamine[0] <=> (1) Glycoprotein[0]
rxn01178	charge_only	charge:+2			5	(3) Malonyl-CoA[0] + (1) 4-Coumaroyl-CoA[0] <=> (4) CoA[0] + (3) CO2[0] + (1) Apigenin[0]
rxn01198	oxygen_only	O:+1			2	(1) Protocatechuate[0] => (1) Gallate[0]
rxn01235	skeleton:C,N	C:+1,H:+2,N:+2			2	(1) Taurine[0] <= (1) Taurocyamine[0]
rxn01250	charge_only	charge:+1	O2	1	6	(1) H2O[0] + (1) O2[0] + (1) Pyridoxal[0] => (2) H+[0] + (1) O2-[0] + (1) 4-Pyridoxate[0]
rxn01266	skeleton:N	H:+2,N:-1,O:+2,charge:-1			2	(1) Niacin[0] => (1) 2-Methyleneglutarate[0]
rxn01272	skeleton:C,N	C:+8,H:+10,N:+2,O:+6			2	(1) Dimethylbenzimidazole[0] => (1) Riboflavin[0]
rxn01342	oxygen_only	O:+1			2	(1) Androstenedione[0] => (1) 7alpha-Hydroxyandrostenedione[0]
rxn01400	skeleton:C	C:+1,H:+8,O:+5			3	(1) Pyridoxol[0] => (1) 4-Hydroxy-L-threonine[0] + (1) 1-Deoxy-D-xylulose[0]
rxn01433	skeleton:C,N,P	C:-8,H:-18,N:-1,O:-1,P:+1,charge:-2			2	(1) Glycoprotein[0] <=> (1) CMP-NeuNGc[0]
rxn01470	skeleton:P	H:-2,O:-5,P:-2,charge:+2			2	(1) Geranyldiphosphate[0] <= (1) Iridodial[0]
rxn01526	skeleton:C	C:+13,H:+22			2	(1) Sterol[0] <= (1) Squalene 2,3-oxide[0]
rxn01535	charge_only	charge:+2			3	(1) Retinal[0] => (2) H+[0] + (1) Retinene 2[0]
