reaction_id	category	confidence	ec	orig_status	residual_before	balanced_before	residual_after	balanced_after	patch	equation_before	equation_after	stoichiometry_before	stoichiometry_after
rxn01766	proton_water	deterministic	1.14.13.88	MI:H:-4/O:-2	H:-4,O:-2	False		True	2 H2O -> products	(2) NADPH + (2) O2 + (2) H+ + (1) Naringenin <=> (2) NADP + (1) Dihydrotricetin	(2) NADPH + (2) O2 + (2) H+ + (1) Naringenin <=> (2) NADP + (1) Dihydrotricetin + (2) H2O	"-2:cpd00005:0:""NADPH"";-2:cpd00007:0:""O2"";-2:cpd00067:0:""H+"";-1:cpd00398:0:""Naringenin"";2:cpd00006:0:""NADP"";1:cpd03507:0:""Dihydrotricetin"""	"-2:cpd00005:0:""NADPH"";-2:cpd00007:0:""O2"";-2:cpd00067:0:""H+"";-1:cpd00398:0:""Naringenin"";2:cpd00006:0:""NADP"";1:cpd03507:0:""Dihydrotricetin"";2:cpd00001:0:""H2O"""
rxn02240	proton_water	deterministic	1.14.13.88	MI:H:-4/O:-2	H:-4,O:-2	False		True	2 H2O -> products	(2) NADPH + (2) O2 + (2) H+ + (1) Aromadendrin <=> (2) NADP + (1) Ampelopsin	(2) NADPH + (2) O2 + (2) H+ + (1) Aromadendrin <=> (2) NADP + (1) Ampelopsin + (2) H2O	"-2:cpd00005:0:""NADPH"";-2:cpd00007:0:""O2"";-2:cpd00067:0:""H+"";-1:cpd00717:0:""Aromadendrin"";2:cpd00006:0:""NADP"";1:cpd01858:0:""Ampelopsin"""	"-2:cpd00005:0:""NADPH"";-2:cpd00007:0:""O2"";-2:cpd00067:0:""H+"";-1:cpd00717:0:""Aromadendrin"";2:cpd00006:0:""NADP"";1:cpd01858:0:""Ampelopsin"";2:cpd00001:0:""H2O"""
rxn02553	proton_water	deterministic	1.1.1.114	MI:O:-1|CI:2	O:-1,charge:+2	False		True	1 H2O -> products; 2 H+ -> reactants	(1) H2O + (1) NAD + (1) D-Apiitol <=> (1) NADH + (3) H+ + (1) D-Apiose	(1) NAD + (1) D-Apiitol <=> (1) NADH + (1) H+ + (1) D-Apiose	"-1:cpd00001:0:""H2O"";-1:cpd00003:0:""NAD"";-1:cpd01105:0:""D-Apiitol"";1:cpd00004:0:""NADH"";3:cpd00067:0:""H+"";1:cpd01056:0:""D-Apiose"""	"-1:cpd00003:0:""NAD"";-1:cpd01105:0:""D-Apiitol"";1:cpd00004:0:""NADH"";1:cpd00067:0:""H+"";1:cpd01056:0:""D-Apiose"""
rxn02799	proton_water	deterministic	1.14.13.50	MI:H:-3/O:-1|CI:-1	H:-3,O:-1,charge:-1	False		True	1 H2O -> products; 1 H+ -> products	(2) NADPH + (1) O2 + (2) H+ + (1) PCP <=> (2) NADP + (1) Cl- + (1) Tetrachlorohydroquinone	(2) NADPH + (1) O2 + (1) H+ + (1) PCP <=> (2) NADP + (1) Cl- + (1) Tetrachlorohydroquinone + (1) H2O	"-2:cpd00005:0:""NADPH"";-1:cpd00007:0:""O2"";-2:cpd00067:0:""H+"";-1:cpd01685:0:""PCP"";2:cpd00006:0:""NADP"";1:cpd00099:0:""Cl-"";1:cpd02174:0:""Tetrachlorohydroquinone"""	"-2:cpd00005:0:""NADPH"";-1:cpd00007:0:""O2"";-1:cpd00067:0:""H+"";-1:cpd01685:0:""PCP"";2:cpd00006:0:""NADP"";1:cpd00099:0:""Cl-"";1:cpd02174:0:""Tetrachlorohydroquinone"";1:cpd00001:0:""H2O"""
rxn03965	proton_water	deterministic	1.1.3.39	MI:H:-3/O:1|CI:-5	H:-3,O:+1,charge:-5	False		True	1 H2O -> reactants; 5 H+ -> products	(2) O2 + (4) H+ + (1) Adenosine <=> (2) H2O2 + (1) 9-Riburonosyladenine	(2) O2 + (1) Adenosine + (1) H2O <=> (1) H+ + (2) H2O2 + (1) 9-Riburonosyladenine	"-2:cpd00007:0:""O2"";-4:cpd00067:0:""H+"";-1:cpd00182:0:""Adenosine"";2:cpd00025:0:""H2O2"";1:cpd08340:0:""9-Riburonosyladenine"""	"-2:cpd00007:0:""O2"";1:cpd00067:0:""H+"";-1:cpd00182:0:""Adenosine"";2:cpd00025:0:""H2O2"";1:cpd08340:0:""9-Riburonosyladenine"";-1:cpd00001:0:""H2O"""
rxn03967	proton_water	deterministic	1.1.3.39	MI:H:-3/O:1|CI:-5	H:-3,O:+1,charge:-5	False		True	1 H2O -> reactants; 5 H+ -> products	(1) O2 + (4) H+ + (1) 5'-Dehydroadenosine <=> (1) H2O2 + (1) 9-Riburonosyladenine	(1) O2 + (1) 5'-Dehydroadenosine + (1) H2O <=> (1) H+ + (1) H2O2 + (1) 9-Riburonosyladenine	"-1:cpd00007:0:""O2"";-4:cpd00067:0:""H+"";-1:cpd08339:0:""5'-Dehydroadenosine"";1:cpd00025:0:""H2O2"";1:cpd08340:0:""9-Riburonosyladenine"""	"-1:cpd00007:0:""O2"";1:cpd00067:0:""H+"";-1:cpd08339:0:""5'-Dehydroadenosine"";1:cpd00025:0:""H2O2"";1:cpd08340:0:""9-Riburonosyladenine"";-1:cpd00001:0:""H2O"""
rxn04055	proton_water	deterministic	1.1.3.28	MI:H:-2/O:2|CI:-6	H:-2,O:+2,charge:-6	False		True	2 H2O -> reactants; 6 H+ -> products	(1) O2 + (4) H+ + (2) 5'-Oxoinosine <=> (2) H2O + (2) 9-Riburonosylhypoxanthine	(1) O2 + (2) 5'-Oxoinosine <=> (2) H+ + (2) 9-Riburonosylhypoxanthine	"-1:cpd00007:0:""O2"";-4:cpd00067:0:""H+"";-2:cpd01365:0:""5'-Oxoinosine"";2:cpd00001:0:""H2O"";2:cpd08442:0:""9-Riburonosylhypoxanthine"""	"-1:cpd00007:0:""O2"";2:cpd00067:0:""H+"";-2:cpd01365:0:""5'-Oxoinosine"";2:cpd08442:0:""9-Riburonosylhypoxanthine"""
rxn04256	proton_water	deterministic	3.1.1.83	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) (4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone <=> (1) (3R)-6-Hydroxy-3-isopropenyl-heptanoate	(1) (4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone + (1) H2O <=> (1) (3R)-6-Hydroxy-3-isopropenyl-heptanoate + (1) H+	"-1:cpd08256:0:""(4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone"";1:cpd08258:0:""(3R)-6-Hydroxy-3-isopropenyl-heptanoate"""	"-1:cpd08256:0:""(4R,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone"";1:cpd08258:0:""(3R)-6-Hydroxy-3-isopropenyl-heptanoate"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn04257	proton_water	deterministic	3.1.1.83	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) (3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone <=> (1) (5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate	(1) (3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone + (1) H2O <=> (1) (5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate + (1) H+	"-1:cpd08257:0:""(3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone"";1:cpd08260:0:""(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate"""	"-1:cpd08257:0:""(3S,6R)-6-Isopropenyl-3-methyl-2-oxo-oxepanone"";1:cpd08260:0:""(5R)-6-Hydroxy-5-isopropenyl-2-methylhexanoate"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn04258	proton_water	deterministic	null	MI:H:1/O:1|CI:-1	H:+1,O:+1,charge:-1	False		True	1 H2O -> reactants; 1 H+ -> products	(1) (4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone <=> (1) (3S)-6-Hydroxy-3-isopropenyl-heptanoate	(1) (4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone + (1) H2O <=> (1) (3S)-6-Hydroxy-3-isopropenyl-heptanoate + (1) H+	"-1:cpd08268:0:""(4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone"";1:cpd08271:0:""(3S)-6-Hydroxy-3-isopropenyl-heptanoate"""	"-1:cpd08268:0:""(4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone"";1:cpd08271:0:""(3S)-6-Hydroxy-3-isopropenyl-heptanoate"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
