id	orig_status	residual	co_substrate	patch	confidence	ec	definition	corrected_stoichiometry
rxn03028	MI:H:-8/O:-16/P:-4|CI:4	H:-8,O:-16,P:-4,charge:+4	PPi	2 PPi -> products; 2 H2O -> products; 2 H+ -> products	high	6.3.2.27	(2) H2O[0] + (4) ATP[0] + (1) Citrate[0] + (2) N6-Acetyl-N6-hydroxylysine[0] <= (4) ADP[0] + (1) Aer	"-4:cpd00002:0:""ATP"";-1:cpd00137:0:""Citrate"";-2:cpd02456:0:""N6-Acetyl-N6-hydroxylysine"";4:cpd00008:0:""ADP"";1:cpd03294:0:""Aerobactin"";2:cpd00012:0:""PPi"";2:cpd00067:0:""H+"""
rxn04562	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	PPi	1 PPi -> products; 1 H+ -> products	high	6.2.1.-	(1) ATP[0] + (1) CoA[0] + (1) Pseudoecgonine[0] <=> (1) AMP[0] + (1) Pseudoecgonyl-CoA[0]	"-1:cpd00002:0:""ATP"";-1:cpd00010:0:""CoA"";-1:cpd09200:0:""Pseudoecgonine"";1:cpd00018:0:""AMP"";1:cpd09201:0:""Pseudoecgonyl-CoA"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn05757	MI:H:-2/O:6/P:2|CI:-4	H:-2,O:+6,P:+2,charge:-4	PPi	1 PPi -> reactants; 1 H2O -> products; 1 H+ -> products	high	3.6.1.10	(1) H2O[0] + (1) Polyphosphate[0] <=> (1) Oligophosphate[0]	"-1:cpd11772:0:""Polyphosphate"";1:cpd12039:0:""Oligophosphate"";-1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn15388	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	PPi	1 PPi -> products; 1 H+ -> products	high	3.6.1.11	(1) H2O[0] + (1) (Phosphate)n[0] <=> (1) Phosphate[0]	"-1:cpd00001:0:""H2O"";-1:cpd11672:0:""(Phosphate)n"";1:cpd00009:0:""Phosphate"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn33892	MI:H:-3/O:6/P:2|CI:-5	H:-3,O:+6,P:+2,charge:-5	PPi	1 PPi -> reactants; 1 H2O -> products; 2 H+ -> products	high	3.6.1.5	(2) H2O[0] + (1) ATP[0] => (2) PPi[0] + (1) AMP[0]	"-1:cpd00001:0:""H2O"";-1:cpd00002:0:""ATP"";1:cpd00012:0:""PPi"";1:cpd00018:0:""AMP"";2:cpd00067:0:""H+"""
rxn15000	MI:H:-1/O:9/P:3|CI:-4	H:-1,O:+9,P:+3,charge:-4	Pi	3 Pi -> reactants; 3 H2O -> products; 2 H+ -> reactants	high	3.6.1.10	(1) H2O[0] + (1) (Phosphate)n[0] <=> (2) Oligophosphate[0]	"2:cpd00001:0:""H2O"";-1:cpd11672:0:""(Phosphate)n"";2:cpd12039:0:""Oligophosphate"";-3:cpd00009:0:""Pi"";-2:cpd00067:0:""H+"""
rxn06411	MI:O:-3/S:-1	O:-3,S:-1	Sulfate	1 Sulfate -> products; 1 H2O -> reactants; 2 H+ -> products	high	2.8.2.21	(1) 3-phosphoadenylylsulfate[0] <= (1) Adenosine 3-5-bisphosphate[0]	"-1:cpd00044:0:""3-phosphoadenylylsulfate"";1:cpd00045:0:""Adenosine 3-5-bisphosphate"";1:cpd00048:0:""Sulfate"";-1:cpd00001:0:""H2O"";2:cpd00067:0:""H+"""
rxn16043	MI:H:-1/O:3/S:1|CI:-1	H:-1,O:+3,S:+1,charge:-1	Sulfate	1 Sulfate -> reactants; 1 H2O -> products; 1 H+ -> reactants	high	2.8.2.-	(1) 1-Hydroxypyrene[0] <=> (1) 1-Pyrenylsulfate[0]	"-1:cpd10218:0:""1-Hydroxypyrene"";1:cpd19535:0:""1-Pyrenylsulfate"";-1:cpd00048:0:""Sulfate"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn07588	MI:C:-1/O:-2|CI:1	C:-1,O:-2	CO2	1 CO2 -> products	low	2.1.1.-|2.1.1.132	(1) S-Adenosyl-L-methionine[0] + (1) Cobalt-precorrin 6B[0] <=> (1) S-Adenosyl-homocysteine[0] + (1)	"-1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd08373:0:""Cobalt-precorrin 6B"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"";1:cpd14961:0:""Cobalt-precorrin 7"";1:cpd00011:0:""CO2"""
rxn07589	MI:C:1/O:2|CI:-1	C:+1,O:+2	CO2	1 CO2 -> reactants	low	2.1.1.196	(1) S-Adenosyl-L-methionine[0] + (1) Cobalt-precorrin 7[0] <=> (1) CO2[0] + (1) S-Adenosyl-homocyste	"-1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd14961:0:""Cobalt-precorrin 7"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd08375:0:""Cobalt-precorrin 8"""
rxn25131	MI:C:1/O:2|CI:-1	C:+1,O:+2	CO2	1 CO2 -> reactants	low	2.1.1.196	(1) S-Adenosyl-L-methionine[0] + (1) Cobalt-precorrin 7[0] <=> (1) CO2[0] + (1) S-Adenosyl-homocyste	"-1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd14961:0:""Cobalt-precorrin 7"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"";1:cpd25541:0:""cobalt-precorrin-8x"""
rxn04186	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	PPi	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	low	4.2.3.42	(1) syn-Copalyl diphosphate[0] <=> (1) Aphidicolan-16beta-ol[0]	"-1:cpd08700:0:""syn-Copalyl diphosphate"";1:cpd08688:0:""Aphidicolan-16beta-ol"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn04283	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	PPi	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	low	4.2.3.-	(1) Geranyldiphosphate[0] <= (1) (L)-alpha-Terpineol[0]	"-1:cpd00283:0:""Geranyldiphosphate"";1:cpd08247:0:""(L)-alpha-Terpineol"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn11881	MI:O:-6/P:-2|CI:2	O:-6,P:-2,charge:+2	PPi	1 PPi -> products; 1 H2O -> reactants; 1 H+ -> products	low	4.2.3.-	(1) Farnesyldiphosphate[0] <= (1) Levomenol[0]	"-1:cpd00350:0:""Farnesyldiphosphate"";1:cpd06515:0:""Levomenol"";1:cpd00012:0:""PPi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn22536	MI:H:-2/O:6/P:2|CI:-4	H:-2,O:+6,P:+2,charge:-4	PPi	1 PPi -> reactants; 1 H2O -> products; 1 H+ -> products	low	3.1.3.-	(2) H2O[0] => (2) Phosphate[0]	"-1:cpd00001:0:""H2O"";2:cpd00009:0:""Phosphate"";-1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn33969	MI:H:-2/O:-6/P:-2	H:-2,O:-6,P:-2	PPi	1 PPi -> products; 1 H2O -> reactants; 3 H+ -> products	low	3.5.4.16	(1) H2O[0] + (1) GTP[0] <= (1) Formate[0] + (1) Dihydroneopterin phosphate[0]	"-2:cpd00001:0:""H2O"";-1:cpd00038:0:""GTP"";1:cpd00047:0:""Formate"";1:cpd03521:0:""Dihydroneopterin phosphate"";1:cpd00012:0:""PPi"";3:cpd00067:0:""H+"""
rxn01915	MI:O:-3/P:-1|CI:2	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	low	2.4.2.16	(1) Phosphate[0] + (1) Urate D-ribonucleotide[0] <= (1) Urate[0] + (1) Ribose 1-phosphate[0]	"-1:cpd02110:0:""Urate D-ribonucleotide"";1:cpd00300:0:""Urate"";1:cpd00475:0:""Ribose 1-phosphate"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn04272	MI:H:-1/O:-3/P:-1	H:-1,O:-3,P:-1	Pi	1 Pi -> products; 1 H2O -> reactants; 2 H+ -> products	low	6.2.1.-	(1) ATP[0] + (1) CoA[0] + (1) cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid[0] <= (1) Phosphate[0] +	"-1:cpd00002:0:""ATP"";-1:cpd00010:0:""CoA"";-1:cpd08741:0:""cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid"";2:cpd00009:0:""Phosphate"";1:cpd00018:0:""AMP"";1:cpd08743:0:""cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA"";-1:cpd00001:0:""H2O"";2:cpd00067:0:""H+"""
rxn04273	MI:H:-1/O:-3/P:-1	H:-1,O:-3,P:-1	Pi	1 Pi -> products; 1 H2O -> reactants; 2 H+ -> products	low	6.2.1.-	(1) ATP[0] + (1) CoA[0] + (1) trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid[0] <= (1) Phosphate[0]	"-1:cpd00002:0:""ATP"";-1:cpd00010:0:""CoA"";-1:cpd08740:0:""trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"";2:cpd00009:0:""Phosphate"";1:cpd00018:0:""AMP"";1:cpd08742:0:""trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA"";-1:cpd00001:0:""H2O"";2:cpd00067:0:""H+"""
rxn06117	MI:O:-3/P:-1|CI:1	O:-3,P:-1,charge:+1	Pi	1 Pi -> products; 1 H2O -> reactants; 1 H+ -> products	low	2.7.4.1	(1) ATP[0] <= (1) ADP[0]	"-1:cpd00002:0:""ATP"";1:cpd00008:0:""ADP"";1:cpd00009:0:""Pi"";-1:cpd00001:0:""H2O"";1:cpd00067:0:""H+"""
rxn06118	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	low	2.7.1.63	(1) D-Glucose[0] => (1) D-glucose-6-phosphate[0]	"-1:cpd00027:0:""D-Glucose"";1:cpd00079:0:""D-glucose-6-phosphate"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"""
rxn06120	MI:H:-1/O:3/P:1|CI:-2	H:-1,O:+3,P:+1,charge:-2	Pi	1 Pi -> reactants; 1 H2O -> products	low	2.7.1.63	(1) beta-D-Glucose[0] => (1) beta-D-Glucose 6-phosphate[0]	"-1:cpd00190:0:""beta-D-Glucose"";1:cpd00863:0:""beta-D-Glucose 6-phosphate"";-1:cpd00009:0:""Pi"";1:cpd00001:0:""H2O"""
