id	orig_status	couple	confidence	stereo_tier	stereo_detail	agent_reason	patch	corrected_stoichiometry
rxn02757	MI:C:-2/H:-2/O:-1	acetyl (AcCoA/CoA)	agent	n/a		Indoxyl -> Acetylindoxyl is a direct acetylation of the substrate	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd01547:0:""Acetylindoxyl"";1:cpd03369:0:""Indoxyl"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn04364	MI:C:2/H:2/O:1	acetyl (AcCoA/CoA)	agent	n/a		Megalomicin A -> B is a macrolide tailoring step consistent with O-acetylation; residual matches exactly one acetyl unit	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd08782:0:""Megalomicin A"";1:cpd08783:0:""Megalomicin B"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn04656	MI:C:2/H:1/O:1|CI:-1	acetyl (AcCoA/CoA)	agent	n/a		L-2-Aminoadipate -> N2-Acetyl-L-aminoadipate is explicit N-acetylation	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd00705:0:""L-2-Aminoadipate"";1:cpd09349:0:""N2-Acetyl-L-aminoadipate"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"";1:cpd00067:0:""H+"""
rxn04804	MI:C:2/H:2/O:1	acetyl (AcCoA/CoA)	agent	n/a		"Demethyl-desacetyl-rifamycin SV -> 27-O-Demethyl-rifamycin SV: substrate loses ""desacetyl"" designation, i.e. acetyl group restored (rifamycin acetyltransferase step)"	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd10423:0:""Demethyl-desacetyl-rifamycin SV"";1:cpd10425:0:""27-O-Demethyl-rifamycin SV"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn07818	MI:C:2/H:2/O:1	acetyl (AcCoA/CoA)	agent	n/a		Pinobanksin -> Pinobanksin 3-O-acetate is explicit O-acetylation (acetate ester named in product)	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd06718:0:""Pinobanksin"";1:cpd15124:0:""Pinobanksin 3-O-acetate"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn12099	MI:C:2/H:1/O:1|CI:-1	acetyl (AcCoA/CoA)	agent	n/a		Deacetylcolchicine -> Colchicine is explicit N-acetylation restoring colchicine's acetamide group	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd16518:0:""Deacetylcolchicine"";1:cpd04757:0:""Colchicine"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"";1:cpd00067:0:""H+"""
rxn12176	MI:C:2/H:4/O:2	acetyl (AcCoA/CoA)	agent	n/a		Supraene -> Hopane-29-acetate: product explicitly named as an acetate ester	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd00559:0:""Supraene"";1:cpd05534:0:""Hopane-29-acetate"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"";-1:cpd00001:0:""H2O"""
rxn24702	MI:C:-2/H:-2/O:-1	acetyl (AcCoA/CoA)	agent	n/a		17-O-Acetylnorajmaline <=> Norajmaline is loss/gain of an O-acetyl group (ajmaline pathway acetyltransferase)	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd08613:0:""17-O-Acetylnorajmaline"";1:cpd08614:0:""Norajmaline"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn24704	MI:C:-2/H:-2/O:-1	acetyl (AcCoA/CoA)	agent	n/a		Acetylajmaline <=> Ajmaline is loss/gain of an acetyl group (ajmaline pathway acetyltransferase)	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd24991:0:""acetylajmaline"";1:cpd03951:0:""Ajmaline"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn30178	MI:C:-2/H:-1/O:-1|CI:1	acetyl (AcCoA/CoA)	agent	n/a		"D-Glucosamine phosphate -> N-Acetyl-D-glucosamine1-phosphate is N-acetylation (GlmU-type) despite the ""mutase"" label"	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd02611:0:""N-Acetyl-D-glucosamine1-phosphate"";1:cpd00288:0:""D-Glucosamine phosphate"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"";-1:cpd00067:0:""H+"""
rxn43786	MI:C:-2/H:-2/O:-1	acetyl (AcCoA/CoA)	agent	n/a		"Substrate/product names contain ""2-O-acetyl"" on the polysaccharide repeat unit, consistent with O-(de)acetylation"	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd34593:0:""4,6-pyruvyl-alpha-D-galactosyl-(1->4)-beta-D-glucoronosyl-(1->3)-2-O-acetyl-alpha-D-galactosyl-(1->3)-alpha-L-fucosyl-(1->4)-2,3-di-O-acetyl-alpha-L-fucosyl-(1->3)-beta-D-glucosyl-diphosphoundecaprenol"";-1:cpd35738:0:""core oligosaccharide-lipid A (E. coli K-12 core type) (no GlcNAc)"";1:cpd02229:0:""Bactoprenyl diphosphate"";1:cpd25978:0:""MLPS"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn44761	MI:C:-2/H:-2/O:-1	acetyl (AcCoA/CoA)	agent	n/a		15-ADON (15-acetyl-deoxynivalenol) <=> DON is deacetylation, well-known mycotoxin chemistry	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd32348:0:""15-ADON"";1:cpd34456:0:""DON"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn45136	MI:C:-2/H:-2/O:-1	acetyl (AcCoA/CoA)	agent	n/a		4-acetylnivalenol <=> Nivalenol is deacetylation	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd35178:0:""4-acetylnivalenol"";1:cpd33719:0:""nivalenol"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn47934	MI:C:-2/H:-2/O:-1	acetyl (AcCoA/CoA)	agent	n/a		3-ADON (3-acetyl-deoxynivalenol) <=> DON is deacetylation	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd35061:0:""3-ADON"";1:cpd34456:0:""DON"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn04401	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	cpd05511 not a substructure of cpd05546	"Substrate ""Cyanidin 3-O-glucoside"" names glucose donor"	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd05511:0:""Cyanidin 3-O-glucoside"";1:cpd05546:0:""Cyanin"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn04402	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	cpd08878 not a substructure of cpd08879	"Substrate name contains ""glucoside"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd08878:0:""Cyanidin 3-O-(6-O-p-coumaroyl)glucoside"";1:cpd08879:0:""Shisonin"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn04637	MI:C:6/H:9/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	Vitexin is the known apigenin 8-C-glucoside	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd01047:0:""Apigenin"";1:cpd01038:0:""Vitexin"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"";1:cpd00067:0:""H+"""
rxn04640	MI:C:6/H:11/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	Isovitexin is the known apigenin 6-C-glucoside	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd01047:0:""Apigenin"";1:cpd01180:0:""Isovitexin"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"";-1:cpd00067:0:""H+"""
rxn05740	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	Product is Glucose-1-phosphate	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00009:0:""Phosphate"";-1:cpd00155:0:""Glycogen"";1:cpd00089:0:""Glucose-1-phosphate"";1:cpd15302:0:""glycogen(n-1)"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn06049	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	alpha-D-glucosyltransferase producing Glucose-1-phosphate	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00009:0:""Phosphate"";1:cpd00089:0:""Glucose-1-phosphate"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn06050	MI:C:-6/H:-10/O:-5	glucosyl (UDPglc/UDP)	agent	structure-stereo-defined	cpd00076 scaffold+hexose ok; stereo fully defined	"Name explicitly ""4-alpha-D-glucosyltransferase"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00076:0:""Sucrose"";1:cpd00082:0:""D-Fructose"";1:cpd00026:0:""UDP-glucose"";-1:cpd00014:0:""UDP"""
rxn06165	MI:C:-6/H:-10/O:-5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	ADP-glucose:glucan glucosyltransferase; glucose explicit	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00387:0:""ADPglucose"";1:cpd00008:0:""ADP"";1:cpd00026:0:""UDP-glucose"";-1:cpd00014:0:""UDP"""
rxn06273	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	GDPglucose glucosyltransferase; transferred sugar is glucose	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00031:0:""GDP"";1:cpd00315:0:""GDP-glucose"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
