id	name	ec	residual	definition	candidates
rxn02626	rxn02626	null	C:+1,H:+2	(1) Morphine[0] <=> (1) Codeine[0]	methyl (SAM/SAH)
rxn02757	R03911	null	C:-2,H:-2,O:-1	(1) Acetylindoxyl[0] <= (1) Indoxyl[0]	acetyl (AcCoA/CoA)
rxn02964	R04250	null	C:+1,H:+2	(1) Ciliatine[0] <= (1) 2-Methylaminoethylphosphonate[0]	methyl (SAM/SAH)
rxn03081	R04458	null	C:-1,H:-1,O:+1,charge:-1	(1) Chinone[0] + (1) 6-7-Dimethyl-8--1-D-ribityllumazine[0] => (1) Quinol[0] + (1) 7-Hydroxy-6-methyl-8-ribity	methyl (SAM/SAH)
rxn03262	rxn03262	null	C:-2,H:-4,O:-2	(1) Salutaridinol acetate[0] <=> (1) Thebaine[0]	acetyl (AcCoA/CoA)
rxn03280	R04795	null	C:+1,H:+6,O:+1,charge:+2	(1) Chlorophyllide[0] + (1) Phytyl diphosphate[0] <=> (1) PPi[0] + (1) Mg[0] + (1) Bacterio-pheophytins[0]	methyl (SAM/SAH)
rxn03348	rxn03348	null	C:-2,H:+2,O:+1	(1) NADH[0] + (1) PACT[0] => (1) NAD[0] + (1) 6-Hydroxyhexanoate[0]	acetyl (AcCoA/CoA)
rxn03349	rxn03349	null	C:-2,H:-1,O:+1,charge:-3	(1) H2O[0] + (1) NADP[0] + (1) PACT[0] => (1) NADPH[0] + (1) Adipate[0]	acetyl (AcCoA/CoA)
rxn03370	R04925	null	C:+1,H:+2	(1) 2-Methylaminoethylphosphonate[0] <=> (1) 2-Dimethylaminoethylphosphonate[0]	methyl (SAM/SAH)
rxn03480	R05131	null	C:+1,H:+2	(1) Pelletierine[0] <= (1) N-Methylpelletierine[0]	methyl (SAM/SAH)
rxn04116	R05887	null	C:-1,H:-5,O:-1,charge:-1	(1) Deacetylipecoside[0] <= (1) Demethylalangiside[0]	methyl (SAM/SAH)
rxn04117	R05888	null	C:+1,H:+2	(1) Demethylalangiside[0] <= (1) Alangiside[0]	methyl (SAM/SAH)
rxn04118	R05889	null	C:-1,H:-5,O:-1,charge:-1	(1) Deacetylisoipecoside[0] <= (1) Demethylisoalangiside[0]	methyl (SAM/SAH)
rxn04119	R05890	null	C:+1,H:+2	(1) Demethylisoalangiside[0] <= (1) Isoalangiside[0]	methyl (SAM/SAH)
rxn04364	R06503	null	C:+2,H:+2,O:+1	(1) Megalomicin A[0] => (1) Megalomicin B[0]	acetyl (AcCoA/CoA)
rxn04401	rxn04401	2.4.1.-	C:+6,H:+10,O:+5	(1) Cyanidin 3-O-glucoside[0] => (1) Cyanin[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn04402	R06547	2.4.1.-	C:+6,H:+10,O:+5	(1) Cyanidin 3-O-(6-O-p-coumaroyl)glucoside[0] => (1) Shisonin[0]	glucosyl (UDPglc/UDP)|mannosyl (GDPman/GDP)
rxn04403	R06548	null	C:+1,H:+2	(1) Cyanidin 3-O-glucoside[0] <= (1) Peonidin-3-glucoside[0]	methyl (SAM/SAH)
rxn04404	R06549	null	C:+1,H:+2	(1) Mirtillin[0] <= (1) Petunidin 3-glucoside[0]	methyl (SAM/SAH)
rxn04486	R06651	null	C:+1,H:+2	(1) Tetrangulol[0] <= (1) 8-O-Methyltetrangulol[0]	methyl (SAM/SAH)
rxn04489	R06654	null	C:+1,H:+2	(1) 19-Hydroxytetrangulol[0] <= (1) 19-Hydroxy-8-O-methyltetrangulol[0]	methyl (SAM/SAH)
rxn04506	R06671	null	C:-1,H:-4,charge:-2	(1) Dehydrorabelomycin[0] <= (1) Kinobscurinone[0]	methyl (SAM/SAH)
rxn04517	R06685	null	C:-1,H:-3,charge:-1	(1) Rhodomycin D[0] => (1) D 788-1[0]	methyl (SAM/SAH)
