id	name	ec	residual	definition	candidates	couple	confidence	patch	corrected_stoichiometry
rxn02781	R03955	2.1.1.-	C:+1,H:+2	(1) Xanthurenate[0] <= (1) 8-Methoxykynurenate[0]	methyl (SAM/SAH)	methyl (SAM/SAH)	high	methyl (SAM/SAH) couple + water/proton	"-1:cpd01625:0:""Xanthurenate"";1:cpd03461:0:""8-Methoxykynurenate"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04519	S-adenosyl-L-methionine:13-deoxycarminomycin O-methyltransferase	2.1.1.-	C:+1,H:+2	(1) 13-Deoxycarminomycin[0] <= (1) Feudomycin A[0]	methyl (SAM/SAH)	methyl (SAM/SAH)	high	methyl (SAM/SAH) couple + water/proton	"-1:cpd09180:0:""13-Deoxycarminomycin"";1:cpd09181:0:""Feudomycin A"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04525	S-adenosyl-L-methionine:carminomycin O-methyltransferase	2.1.1.-	C:+1,H:+2	(1) Carminomycin[0] <= (1) Daunomycin[0]	methyl (SAM/SAH)	methyl (SAM/SAH)	high	methyl (SAM/SAH) couple + water/proton	"-1:cpd09184:0:""Carminomycin"";1:cpd01310:0:""Daunomycin"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04535	S-adenosyl-L-methionine:tetracenomycin-E O-methyltransferase	2.1.1.-	C:+1,H:+3,charge:+1	(1) Tetracenomycin E[0] <= (1) Tetracenomycin A2[0]	methyl (SAM/SAH)	methyl (SAM/SAH)	high	methyl (SAM/SAH) couple + water/proton	"-1:cpd09123:0:""Tetracenomycin E"";1:cpd09124:0:""Tetracenomycin A2"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"""
rxn04566	branched chain alpha-keto acid dehydrogenase E2 subunit (din3)	2.3.1.-	C:+2,H:+2,O:+1	(1) Tropine[0] => (1) Acetyltropine[0]	acetyl (AcCoA/CoA)	acetyl (AcCoA/CoA)	high	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd00544:0:""Tropine"";1:cpd09203:0:""Acetyltropine"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn04567	branched chain alpha-keto acid dehydrogenase E2 subunit (din3)	2.3.1.-	C:+2,H:+2,O:+1	(1) Pseudotropine[0] => (1) Acetylpseudotropine[0]	acetyl (AcCoA/CoA)	acetyl (AcCoA/CoA)	high	acetyl (AcCoA/CoA) couple + water/proton	"-1:cpd01404:0:""Pseudotropine"";1:cpd09204:0:""Acetylpseudotropine"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn04805	S-adenosyl-L-methionine:27-O-demethylrifamycin-SV 27-O-methyltransferase	2.1.1.-	C:+1,H:+2	(1) 27-O-Demethyl-rifamycin SV[0] <= (1) Rifamycin[0]	methyl (SAM/SAH)	methyl (SAM/SAH)	high	methyl (SAM/SAH) couple + water/proton	"-1:cpd10425:0:""27-O-Demethyl-rifamycin SV"";1:cpd08835:0:""Rifamycin"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07364	demethylspheroidene O-methyltransferase	2.1.1.-|2.1.1.210	C:+1,H:+2	(1) Chloroxanthin[0] <= (1) Methoxyneurosporene[0]	methyl (SAM/SAH)	methyl (SAM/SAH)	high	methyl (SAM/SAH) couple + water/proton	"-1:cpd14623:0:""Chloroxanthin"";1:cpd14626:0:""Methoxyneurosporene"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07691	R07901	2.1.1.-	C:+1,H:+2	(1) Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside[0] <= (1) Peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside[	methyl (SAM/SAH)	methyl (SAM/SAH)	high	methyl (SAM/SAH) couple + water/proton	"-1:cpd15008:0:""Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";1:cpd15009:0:""Peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07695	R07905	2.1.1.-	C:+1,H:+2	(1) Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside[0] <= (1) Petunidin-3-(p-coumaroyl)-rutinoside-5-glucos	methyl (SAM/SAH)	methyl (SAM/SAH)	high	methyl (SAM/SAH) couple + water/proton	"-1:cpd15010:0:""Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";1:cpd15011:0:""Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
