reaction_id	category	confidence	ec	orig_status	residual_before	balanced_before	residual_after	balanced_after	patch	equation_before	equation_after	stoichiometry_before	stoichiometry_after
rxn03028	cosubstrate:PPi	high	6.3.2.27	MI:H:-8/O:-16/P:-4|CI:4	H:-8,O:-16,P:-4,charge:+4	False		True	2 PPi -> products; 2 H2O -> products; 2 H+ -> products	(2) H2O + (4) ATP + (1) Citrate + (2) N6-Acetyl-N6-hydroxylysine <=> (4) ADP + (1) Aerobactin	(4) ATP + (1) Citrate + (2) N6-Acetyl-N6-hydroxylysine <=> (4) ADP + (1) Aerobactin + (2) PPi + (2) H+	"-2:cpd00001:0:""H2O"";-4:cpd00002:0:""ATP"";-1:cpd00137:0:""Citrate"";-2:cpd02456:0:""N6-Acetyl-N6-hydroxylysine"";4:cpd00008:0:""ADP"";1:cpd03294:0:""Aerobactin"""	"-4:cpd00002:0:""ATP"";-1:cpd00137:0:""Citrate"";-2:cpd02456:0:""N6-Acetyl-N6-hydroxylysine"";4:cpd00008:0:""ADP"";1:cpd03294:0:""Aerobactin"";2:cpd00012:0:""PPi"";2:cpd00067:0:""H+"""
rxn04562	cosubstrate:PPi	high	6.2.1.-	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	False		True	1 PPi -> products; 1 H+ -> products	(1) ATP + (1) CoA + (1) Pseudoecgonine <=> (1) AMP + (1) Pseudoecgonyl-CoA	(1) ATP + (1) CoA + (1) Pseudoecgonine <=> (1) AMP + (1) Pseudoecgonyl-CoA + (1) PPi + (1) H+	"-1:cpd00002:0:""ATP"";-1:cpd00010:0:""CoA"";-1:cpd09200:0:""Pseudoecgonine"";1:cpd00018:0:""AMP"";1:cpd09201:0:""Pseudoecgonyl-CoA"""	"-1:cpd00002:0:""ATP"";-1:cpd00010:0:""CoA"";-1:cpd09200:0:""Pseudoecgonine"";1:cpd00018:0:""AMP"";1:cpd09201:0:""Pseudoecgonyl-CoA"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn05757	cosubstrate:PPi	high	3.6.1.10	MI:H:-2/O:6/P:2|CI:-4	H:-2,O:+6,P:+2,charge:-4	False		True	1 PPi -> reactants; 1 H2O -> products; 1 H+ -> products	(1) H2O + (1) Polyphosphate <=> (1) Oligophosphate	(1) Polyphosphate + (1) PPi <=> (1) Oligophosphate + (1) H+	"-1:cpd00001:0:""H2O"";-1:cpd11772:0:""Polyphosphate"";1:cpd12039:0:""Oligophosphate"""	"-1:cpd11772:0:""Polyphosphate"";1:cpd12039:0:""Oligophosphate"";-1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn15388	cosubstrate:PPi	high	3.6.1.11	MI:H:-2/O:-7/P:-2|CI:2	H:-2,O:-7,P:-2,charge:+2	False		True	1 PPi -> products; 1 H+ -> products	(1) H2O + (1) (Phosphate)n <=> (1) Phosphate	(1) H2O + (1) (Phosphate)n <=> (1) Phosphate + (1) PPi + (1) H+	"-1:cpd00001:0:""H2O"";-1:cpd11672:0:""(Phosphate)n"";1:cpd00009:0:""Phosphate"""	"-1:cpd00001:0:""H2O"";-1:cpd11672:0:""(Phosphate)n"";1:cpd00009:0:""Phosphate"";1:cpd00012:0:""PPi"";1:cpd00067:0:""H+"""
rxn33892	cosubstrate:PPi	high	3.6.1.5	MI:H:-3/O:6/P:2|CI:-5	H:-3,O:+6,P:+2,charge:-5	False		True	1 PPi -> reactants; 1 H2O -> products; 2 H+ -> products	(2) H2O + (1) ATP <=> (2) PPi + (1) AMP	(1) H2O + (1) ATP <=> (1) PPi + (1) AMP + (2) H+	"-2:cpd00001:0:""H2O"";-1:cpd00002:0:""ATP"";2:cpd00012:0:""PPi"";1:cpd00018:0:""AMP"""	"-1:cpd00001:0:""H2O"";-1:cpd00002:0:""ATP"";1:cpd00012:0:""PPi"";1:cpd00018:0:""AMP"";2:cpd00067:0:""H+"""
rxn15000	cosubstrate:Pi	high	3.6.1.10	MI:H:-1/O:9/P:3|CI:-4	H:-1,O:+9,P:+3,charge:-4	False		True	3 Pi -> reactants; 3 H2O -> products; 2 H+ -> reactants	(1) H2O + (1) (Phosphate)n <=> (2) Oligophosphate	(1) (Phosphate)n + (3) Pi + (2) H+ <=> (2) H2O + (2) Oligophosphate	"-1:cpd00001:0:""H2O"";-1:cpd11672:0:""(Phosphate)n"";2:cpd12039:0:""Oligophosphate"""	"2:cpd00001:0:""H2O"";-1:cpd11672:0:""(Phosphate)n"";2:cpd12039:0:""Oligophosphate"";-3:cpd00009:0:""Pi"";-2:cpd00067:0:""H+"""
rxn06411	cosubstrate:Sulfate	high	2.8.2.21	MI:O:-3/S:-1	O:-3,S:-1	False		True	1 Sulfate -> products; 1 H2O -> reactants; 2 H+ -> products	(1) 3-phosphoadenylylsulfate <=> (1) Adenosine 3-5-bisphosphate	(1) 3-phosphoadenylylsulfate + (1) H2O <=> (1) Adenosine 3-5-bisphosphate + (1) Sulfate + (2) H+	"-1:cpd00044:0:""3-phosphoadenylylsulfate"";1:cpd00045:0:""Adenosine 3-5-bisphosphate"""	"-1:cpd00044:0:""3-phosphoadenylylsulfate"";1:cpd00045:0:""Adenosine 3-5-bisphosphate"";1:cpd00048:0:""Sulfate"";-1:cpd00001:0:""H2O"";2:cpd00067:0:""H+"""
rxn16043	cosubstrate:Sulfate	high	2.8.2.-	MI:H:-1/O:3/S:1|CI:-1	H:-1,O:+3,S:+1,charge:-1	False		True	1 Sulfate -> reactants; 1 H2O -> products; 1 H+ -> reactants	(1) 1-Hydroxypyrene <=> (1) 1-Pyrenylsulfate	(1) 1-Hydroxypyrene + (1) Sulfate + (1) H+ <=> (1) 1-Pyrenylsulfate + (1) H2O	"-1:cpd10218:0:""1-Hydroxypyrene"";1:cpd19535:0:""1-Pyrenylsulfate"""	"-1:cpd10218:0:""1-Hydroxypyrene"";1:cpd19535:0:""1-Pyrenylsulfate"";-1:cpd00048:0:""Sulfate"";1:cpd00001:0:""H2O"";-1:cpd00067:0:""H+"""
rxn07588	cosubstrate:CO2	low	2.1.1.-|2.1.1.132	MI:C:-1/O:-2|CI:1	C:-1,O:-2	False		True	1 CO2 -> products	(1) S-Adenosyl-L-methionine + (1) Cobalt-precorrin 6B <=> (1) S-Adenosyl-homocysteine + (1) H+ + (1) Cobalt-precorrin 7	(1) S-Adenosyl-L-methionine + (1) Cobalt-precorrin 6B <=> (1) S-Adenosyl-homocysteine + (1) H+ + (1) Cobalt-precorrin 7 + (1) CO2	"-1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd08373:0:""Cobalt-precorrin 6B"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"";1:cpd14961:0:""Cobalt-precorrin 7"""	"-1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd08373:0:""Cobalt-precorrin 6B"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"";1:cpd14961:0:""Cobalt-precorrin 7"";1:cpd00011:0:""CO2"""
rxn07589	cosubstrate:CO2	low	2.1.1.196	MI:C:1/O:2|CI:-1	C:+1,O:+2	False		True	1 CO2 -> reactants	(1) S-Adenosyl-L-methionine + (1) Cobalt-precorrin 7 <=> (1) CO2 + (1) S-Adenosyl-homocysteine + (1) Cobalt-precorrin 8	(1) S-Adenosyl-L-methionine + (1) Cobalt-precorrin 7 <=> (1) S-Adenosyl-homocysteine + (1) Cobalt-precorrin 8	"-1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd14961:0:""Cobalt-precorrin 7"";1:cpd00011:0:""CO2"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd08375:0:""Cobalt-precorrin 8"""	"-1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd14961:0:""Cobalt-precorrin 7"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd08375:0:""Cobalt-precorrin 8"""
