reaction_id	category	confidence	ec	orig_status	residual_before	balanced_before	residual_after	balanced_after	patch	equation_before	equation_after	stoichiometry_before	stoichiometry_after
rxn02781	couple:methyl	high	2.1.1.-	MI:C:1/H:2	C:+1,H:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) Xanthurenate <=> (1) 8-Methoxykynurenate	(1) Xanthurenate + (1) S-Adenosyl-L-methionine <=> (1) 8-Methoxykynurenate + (1) S-Adenosyl-homocysteine + (1) H+	"-1:cpd01625:0:""Xanthurenate"";1:cpd03461:0:""8-Methoxykynurenate"""	"-1:cpd01625:0:""Xanthurenate"";1:cpd03461:0:""8-Methoxykynurenate"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04519	couple:methyl	high	2.1.1.-	MI:C:1/H:2	C:+1,H:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) 13-Deoxycarminomycin <=> (1) Feudomycin A	(1) 13-Deoxycarminomycin + (1) S-Adenosyl-L-methionine <=> (1) Feudomycin A + (1) S-Adenosyl-homocysteine + (1) H+	"-1:cpd09180:0:""13-Deoxycarminomycin"";1:cpd09181:0:""Feudomycin A"""	"-1:cpd09180:0:""13-Deoxycarminomycin"";1:cpd09181:0:""Feudomycin A"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04525	couple:methyl	high	2.1.1.-	MI:C:1/H:2	C:+1,H:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) Carminomycin <=> (1) Daunomycin	(1) Carminomycin + (1) S-Adenosyl-L-methionine <=> (1) Daunomycin + (1) S-Adenosyl-homocysteine + (1) H+	"-1:cpd09184:0:""Carminomycin"";1:cpd01310:0:""Daunomycin"""	"-1:cpd09184:0:""Carminomycin"";1:cpd01310:0:""Daunomycin"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04535	couple:methyl	high	2.1.1.-	MI:C:1/H:3|CI:1	C:+1,H:+3,charge:+1	False		True	methyl (SAM/SAH) couple + water/proton	(1) Tetracenomycin E <=> (1) Tetracenomycin A2	(1) Tetracenomycin E + (1) S-Adenosyl-L-methionine <=> (1) Tetracenomycin A2 + (1) S-Adenosyl-homocysteine	"-1:cpd09123:0:""Tetracenomycin E"";1:cpd09124:0:""Tetracenomycin A2"""	"-1:cpd09123:0:""Tetracenomycin E"";1:cpd09124:0:""Tetracenomycin A2"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"""
rxn04566	couple:acetyl	high	2.3.1.-	MI:C:2/H:2/O:1	C:+2,H:+2,O:+1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) Tropine <=> (1) Acetyltropine	(1) Tropine + (1) Acetyl-CoA <=> (1) Acetyltropine + (1) CoA	"-1:cpd00544:0:""Tropine"";1:cpd09203:0:""Acetyltropine"""	"-1:cpd00544:0:""Tropine"";1:cpd09203:0:""Acetyltropine"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn04567	couple:acetyl	high	2.3.1.-	MI:C:2/H:2/O:1	C:+2,H:+2,O:+1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) Pseudotropine <=> (1) Acetylpseudotropine	(1) Pseudotropine + (1) Acetyl-CoA <=> (1) Acetylpseudotropine + (1) CoA	"-1:cpd01404:0:""Pseudotropine"";1:cpd09204:0:""Acetylpseudotropine"""	"-1:cpd01404:0:""Pseudotropine"";1:cpd09204:0:""Acetylpseudotropine"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn04805	couple:methyl	high	2.1.1.-	MI:C:1/H:2	C:+1,H:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) 27-O-Demethyl-rifamycin SV <=> (1) Rifamycin	(1) 27-O-Demethyl-rifamycin SV + (1) S-Adenosyl-L-methionine <=> (1) Rifamycin + (1) S-Adenosyl-homocysteine + (1) H+	"-1:cpd10425:0:""27-O-Demethyl-rifamycin SV"";1:cpd08835:0:""Rifamycin"""	"-1:cpd10425:0:""27-O-Demethyl-rifamycin SV"";1:cpd08835:0:""Rifamycin"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07364	couple:methyl	high	2.1.1.-|2.1.1.210	MI:C:1/H:2	C:+1,H:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) Chloroxanthin <=> (1) Methoxyneurosporene	(1) Chloroxanthin + (1) S-Adenosyl-L-methionine <=> (1) Methoxyneurosporene + (1) S-Adenosyl-homocysteine + (1) H+	"-1:cpd14623:0:""Chloroxanthin"";1:cpd14626:0:""Methoxyneurosporene"""	"-1:cpd14623:0:""Chloroxanthin"";1:cpd14626:0:""Methoxyneurosporene"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07691	couple:methyl	high	2.1.1.-	MI:C:1/H:2	C:+1,H:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=> (1) Peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside	(1) Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside + (1) S-Adenosyl-L-methionine <=> (1) Peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside + (1) S-Adenosyl-homocysteine + (1) H+	"-1:cpd15008:0:""Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";1:cpd15009:0:""Peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside"""	"-1:cpd15008:0:""Cyanidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";1:cpd15009:0:""Peonidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07695	couple:methyl	high	2.1.1.-	MI:C:1/H:2	C:+1,H:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=> (1) Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside	(1) Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside + (1) S-Adenosyl-L-methionine <=> (1) Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside + (1) S-Adenosyl-homocysteine + (1) H+	"-1:cpd15010:0:""Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";1:cpd15011:0:""Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside"""	"-1:cpd15010:0:""Delphinidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";1:cpd15011:0:""Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07696	couple:methyl	high	2.1.1.-	MI:C:1/H:2	C:+1,H:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside <=> (1) Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside	(1) Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside + (1) S-Adenosyl-L-methionine <=> (1) Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside + (1) S-Adenosyl-homocysteine + (1) H+	"-1:cpd15011:0:""Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";1:cpd15012:0:""Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside"""	"-1:cpd15011:0:""Petunidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";1:cpd15012:0:""Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07794	couple:methyl	high	2.1.1.-	MI:C:1/H:2	C:+1,H:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) Desmethylxanthohumol <=> (1) Xanthohumol	(1) Desmethylxanthohumol + (1) S-Adenosyl-L-methionine <=> (1) Xanthohumol + (1) S-Adenosyl-homocysteine + (1) H+	"-1:cpd15122:0:""Desmethylxanthohumol"";1:cpd15123:0:""Xanthohumol"""	"-1:cpd15122:0:""Desmethylxanthohumol"";1:cpd15123:0:""Xanthohumol"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn12084	couple:methyl	high	2.1.1.-	MI:C:1/H:4|CI:2	C:+1,H:+4,charge:+2	False		True	methyl (SAM/SAH) couple + water/proton	(1) Norbelladine <=> (2) H+ + (1) 4'-O-Methylnorbelladine	(1) Norbelladine + (1) S-Adenosyl-L-methionine <=> (1) H+ + (1) 4'-O-Methylnorbelladine + (1) S-Adenosyl-homocysteine	"-1:cpd16508:0:""Norbelladine"";2:cpd00067:0:""H+"";1:cpd16509:0:""4'-O-Methylnorbelladine"""	"-1:cpd16508:0:""Norbelladine"";1:cpd00067:0:""H+"";1:cpd16509:0:""4'-O-Methylnorbelladine"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"""
rxn23093	couple:acetyl	high	2.3.1.-	MI:C:2/H:1/O:1|CI:-1	C:+2,H:+1,O:+1,charge:-1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) Ornithine <=> (1) L-N-delta-acetylornithine	(1) Ornithine + (1) Acetyl-CoA <=> (1) L-N-delta-acetylornithine + (1) CoA + (1) H+	"-1:cpd00064:0:""Ornithine"";1:cpd23977:0:""L-N-delta-acetylornithine"""	"-1:cpd00064:0:""Ornithine"";1:cpd23977:0:""L-N-delta-acetylornithine"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"";1:cpd00067:0:""H+"""
