reaction_id	category	confidence	ec	orig_status	residual_before	balanced_before	residual_after	balanced_after	patch	equation_before	equation_after	stoichiometry_before	stoichiometry_after
rxn02757	couple_agent:acetyl	agent	null	MI:C:-2/H:-2/O:-1	C:-2,H:-2,O:-1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) Acetylindoxyl <=> (1) Indoxyl	(1) Acetylindoxyl + (1) CoA <=> (1) Indoxyl + (1) Acetyl-CoA	"-1:cpd01547:0:""Acetylindoxyl"";1:cpd03369:0:""Indoxyl"""	"-1:cpd01547:0:""Acetylindoxyl"";1:cpd03369:0:""Indoxyl"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn04364	couple_agent:acetyl	agent	null	MI:C:2/H:2/O:1	C:+2,H:+2,O:+1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) Megalomicin A <=> (1) Megalomicin B	(1) Megalomicin A + (1) Acetyl-CoA <=> (1) Megalomicin B + (1) CoA	"-1:cpd08782:0:""Megalomicin A"";1:cpd08783:0:""Megalomicin B"""	"-1:cpd08782:0:""Megalomicin A"";1:cpd08783:0:""Megalomicin B"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn04656	couple_agent:acetyl	agent	null	MI:C:2/H:1/O:1|CI:-1	C:+2,H:+1,O:+1,charge:-1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) L-2-Aminoadipate <=> (1) N2-Acetyl-L-aminoadipate	(1) L-2-Aminoadipate + (1) Acetyl-CoA <=> (1) N2-Acetyl-L-aminoadipate + (1) CoA + (1) H+	"-1:cpd00705:0:""L-2-Aminoadipate"";1:cpd09349:0:""N2-Acetyl-L-aminoadipate"""	"-1:cpd00705:0:""L-2-Aminoadipate"";1:cpd09349:0:""N2-Acetyl-L-aminoadipate"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"";1:cpd00067:0:""H+"""
rxn04804	couple_agent:acetyl	agent	null	MI:C:2/H:2/O:1	C:+2,H:+2,O:+1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) Demethyl-desacetyl-rifamycin SV <=> (1) 27-O-Demethyl-rifamycin SV	(1) Demethyl-desacetyl-rifamycin SV + (1) Acetyl-CoA <=> (1) 27-O-Demethyl-rifamycin SV + (1) CoA	"-1:cpd10423:0:""Demethyl-desacetyl-rifamycin SV"";1:cpd10425:0:""27-O-Demethyl-rifamycin SV"""	"-1:cpd10423:0:""Demethyl-desacetyl-rifamycin SV"";1:cpd10425:0:""27-O-Demethyl-rifamycin SV"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn07818	couple_agent:acetyl	agent	null	MI:C:2/H:2/O:1	C:+2,H:+2,O:+1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) Pinobanksin <=> (1) Pinobanksin 3-O-acetate	(1) Pinobanksin + (1) Acetyl-CoA <=> (1) Pinobanksin 3-O-acetate + (1) CoA	"-1:cpd06718:0:""Pinobanksin"";1:cpd15124:0:""Pinobanksin 3-O-acetate"""	"-1:cpd06718:0:""Pinobanksin"";1:cpd15124:0:""Pinobanksin 3-O-acetate"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"""
rxn12099	couple_agent:acetyl	agent	null	MI:C:2/H:1/O:1|CI:-1	C:+2,H:+1,O:+1,charge:-1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) Deacetylcolchicine <=> (1) Colchicine	(1) Deacetylcolchicine + (1) Acetyl-CoA <=> (1) Colchicine + (1) CoA + (1) H+	"-1:cpd16518:0:""Deacetylcolchicine"";1:cpd04757:0:""Colchicine"""	"-1:cpd16518:0:""Deacetylcolchicine"";1:cpd04757:0:""Colchicine"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"";1:cpd00067:0:""H+"""
rxn12176	couple_agent:acetyl	agent	null	MI:C:2/H:4/O:2	C:+2,H:+4,O:+2	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) Supraene <=> (1) Hopane-29-acetate	(1) Supraene + (1) Acetyl-CoA + (1) H2O <=> (1) Hopane-29-acetate + (1) CoA	"-1:cpd00559:0:""Supraene"";1:cpd05534:0:""Hopane-29-acetate"""	"-1:cpd00559:0:""Supraene"";1:cpd05534:0:""Hopane-29-acetate"";-1:cpd00022:0:""Acetyl-CoA"";1:cpd00010:0:""CoA"";-1:cpd00001:0:""H2O"""
rxn24702	couple_agent:acetyl	agent	null	MI:C:-2/H:-2/O:-1	C:-2,H:-2,O:-1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) 17-O-Acetylnorajmaline <=> (1) Norajmaline	(1) 17-O-Acetylnorajmaline + (1) CoA <=> (1) Norajmaline + (1) Acetyl-CoA	"-1:cpd08613:0:""17-O-Acetylnorajmaline"";1:cpd08614:0:""Norajmaline"""	"-1:cpd08613:0:""17-O-Acetylnorajmaline"";1:cpd08614:0:""Norajmaline"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn24704	couple_agent:acetyl	agent	null	MI:C:-2/H:-2/O:-1	C:-2,H:-2,O:-1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) acetylajmaline <=> (1) Ajmaline	(1) acetylajmaline + (1) CoA <=> (1) Ajmaline + (1) Acetyl-CoA	"-1:cpd24991:0:""acetylajmaline"";1:cpd03951:0:""Ajmaline"""	"-1:cpd24991:0:""acetylajmaline"";1:cpd03951:0:""Ajmaline"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"""
rxn30178	couple_agent:acetyl	agent	null	MI:C:-2/H:-1/O:-1|CI:1	C:-2,H:-1,O:-1,charge:+1	False		True	acetyl (AcCoA/CoA) couple + water/proton	(1) N-Acetyl-D-glucosamine1-phosphate <=> (1) D-Glucosamine phosphate	(1) N-Acetyl-D-glucosamine1-phosphate + (1) CoA + (1) H+ <=> (1) D-Glucosamine phosphate + (1) Acetyl-CoA	"-1:cpd02611:0:""N-Acetyl-D-glucosamine1-phosphate"";1:cpd00288:0:""D-Glucosamine phosphate"""	"-1:cpd02611:0:""N-Acetyl-D-glucosamine1-phosphate"";1:cpd00288:0:""D-Glucosamine phosphate"";1:cpd00022:0:""Acetyl-CoA"";-1:cpd00010:0:""CoA"";-1:cpd00067:0:""H+"""
