R	compounds
R00001	C00001,C00404,C02174
R00308	C00001,C00031,C00965
R00459	C00047,C00408
R01331	C00001,C00159
R01718	C00001,C00031,C00252,C00267
R01790	C00001,C00031,C00369
R01791	C00001,C00031,C00721
R01821	C00009,C00103,C00718
R01823	C00089,C00095,C00718
R02120	C00089,C00095,C00372
R02421	C00008,C00498,C00718
R02887	C00001,C00031,C00185,C01898
R02888	C00009,C00103,C00760
R02890	C00035,C00394,C00760
R03042	C00001,C00009
R03115	C00001,C00267,C00965
R03116	C00009,C00103,C00965
R03553	C00053,C00054,C00573
R03698	C00007,C00011,C00026,C00042,C00067,C01735,C06175
R03911	C02298,C05658
R03955	C00019,C00021,C02470,C05830
R04250	C03557,C05679
R04925	C05679,C05680
R05126	C00007,C00011,C00026,C00042,C00067,C06172,C06173
R05127	C00007,C00011,C00026,C00042,C00067,C06173,C06175
R05131	C06182,C06184
R05816	C00001,C00159,C00464
R05888	C09330,C11813
R05890	C11814,C11815
R06313	C00001,C00013,C11890,C11902
R06314	C11891,C11902
R06315	C11892,C11902
R06321	C00353,C11893
R06421	C00001,C00013,C00341,C11393
R06503	C11985,C11986
R06547	C00015,C00029,C12095,C12096
R06548	C08604,C12141
R06549	C12138,C12139
R06651	C12397,C12398
R06654	C12399,C12400
R06687	C00019,C00021,C12428,C12429
R06693	C00019,C00021,C01907,C12432
R06701	C12368,C12369
R06703	C00019,C00021,C12370,C12371
R06706	C12367,C12373
R06707	C12367,C12374
R06709	C12368,C12375
R06710	C12368,C12376
R06711	C12369,C12377
R06721	
R06731	C00002,C00010,C00020,C12449,C12450
R06738	C00745,C06524
R06744	C00079,C01456
R06822	C01460,C01477
R06825	C01477,C01714
R06901	C14111,C14114
R06994	C14722,C14724
R06997	C00010,C00024,C14725,C14727
R06998	C00019,C00021,C12044,C14727
R06841	
R07508	C02477,C14152
R07533	C00019,C00021,C15892,C15895
R07544	C15911,C15914
R07546	C15859,C15861
R07655	C16146,C16147
R07694	C16204,C16208
R07717	C14314,C14536
R07733	C00858,C10509
R07425	
R07496	
R07750	C00019,C00021,C10516,C16230
R07756	C10502,C10538
R07774	C00011,C00019,C00021,C11543,C16244
R07783	C03925,C16247
R07843	C16270,C16271
R07901	C16292,C16293
R07905	C16294,C16295
R07906	C16295,C16296
R07908	C05905,C16298
R07909	C08639,C16298
R07943	C13747,C16358
R08004	C00019,C00021,C16416,C16417
R08006	C00015,C00029,C06561,C16407
R08007	C00015,C00029,C15525,C16408
R08012	C05631,C09756
R08028	C09826,C16418
R08029	C09827,C16419
R08031	C15525,C16405
R08040	C16400,C16401
R08129	C00509,C16492
R08147	C00019,C00021,C16502,C16503
R08268	C07108,C16546
R08269	C05011,C16547
R08272	C16546,C16548
R08341	C08012,C16661
R08342	C16661,C16662
R08343	C07572,C16608
R08345	C16608,C16609
R08393	C00341,C09871
R08399	C00341,C09848
R08412	C00135,C08262,C16696
R08437	C00019,C00021,C16701,C16702
R08452	C11250,C16712
R08453	C00010,C00024,C07592,C16712
R08478	C00049,C06332,C10733
R08509	C06423,C10138
R08535	C00751,C08627
R08612	C00001,C02492,C17207
R08614	C00001,C00159,C17207
R09051	C16671,C16933
R09181	C14519,C18269
R09852	C20134,C20135
