reaction_id	category	confidence	kegg_verdict	contradicting_markers	added
rxn04562	cosubstrate:PPi	high	kegg_incomplete		cpd00012
rxn15388	cosubstrate:PPi	high	kegg_incomplete		cpd00012
rxn15000	cosubstrate:Pi	high	kegg_incomplete		cpd00009
rxn06411	cosubstrate:Sulfate	high	kegg_incomplete		cpd00048
rxn16043	cosubstrate:Sulfate	high	kegg_incomplete		cpd00048
rxn07588	cosubstrate:CO2	low	validated		cpd00011
rxn04186	cosubstrate:PPi	low	validated		cpd00012
rxn04283	cosubstrate:PPi	low	validated		cpd00012
rxn07145	cosubstrate:CO2	review	kegg_incomplete		cpd00011
rxn07146	cosubstrate:CO2	review	kegg_incomplete		cpd00011
rxn07147	cosubstrate:CO2	review	kegg_incomplete		cpd00011
rxn07175	cosubstrate:CO2	review	kegg_incomplete		cpd00011
rxn07597	cosubstrate:CO2	review	kegg_incomplete		cpd00011
rxn12062	cosubstrate:CO2	review	kegg_incomplete		cpd00011
rxn12123	cosubstrate:CO2	review	kegg_incomplete		cpd00011
rxn15921	cosubstrate:CO2	review	kegg_incomplete		cpd00011
rxn05850	cosubstrate:NH4	review	kegg_incomplete		cpd00013
rxn07830	cosubstrate:NH4	review	kegg_incomplete		cpd00013
rxn12152	cosubstrate:NH4	review	kegg_incomplete		cpd00013
rxn39766	cosubstrate:NH4	review	kegg_incomplete		cpd00013
rxn04187	cosubstrate:PPi	review	kegg_incomplete		cpd00012
rxn04188	cosubstrate:PPi	review	kegg_incomplete		cpd00012
rxn04194	cosubstrate:PPi	review	kegg_incomplete		cpd00012
rxn11903	cosubstrate:PPi	review	kegg_incomplete		cpd00012
rxn11909	cosubstrate:PPi	review	kegg_incomplete		cpd00012
rxn02781	couple:methyl	high	validated		cpd00017,cpd00019
rxn04519	couple:methyl	high	validated		cpd00017,cpd00019
rxn04525	couple:methyl	high	validated		cpd00017,cpd00019
rxn04535	couple:methyl	high	validated		cpd00017,cpd00019
rxn04805	couple:methyl	high	validated		cpd00017,cpd00019
rxn07364	couple:methyl	high	validated		cpd00017,cpd00019
rxn07691	couple:methyl	high	kegg_incomplete		cpd00017,cpd00019
rxn07695	couple:methyl	high	kegg_incomplete		cpd00017,cpd00019
rxn07696	couple:methyl	high	kegg_incomplete		cpd00017,cpd00019
rxn07794	couple:methyl	high	validated		cpd00017,cpd00019
