id	status	bucket	n_species	n_generic	elem_imbalance	charge_imbalance	is_transport
rxn00001	OK	OK	4	0		0.0	0
rxn00002	OK	OK	5	0		0.0	0
rxn00003	OK	OK	4	0		0.0	0
rxn00004	OK	OK	2	0		0.0	0
rxn00006	OK	OK	3	0		0.0	0
rxn00007	OK	OK	3	0		0.0	0
rxn00008	CI:2	E_charge_only	3	0		2.0	0
rxn00009	OK	OK	4	0		0.0	0
rxn00010	OK	OK	4	0		0.0	0
rxn00011	OK	OK	5	0		0.0	0
rxn00012	OK	OK	3	0		0.0	0
rxn00013	OK	OK	3	0		0.0	0
rxn00014	OK	A_no_formula	5	2		0.0	0
rxn00015	OK	OK	3	0		0.0	0
rxn00016	OK	OK	3	0		0.0	0
rxn00017	OK	OK	5	0		0.0	0
rxn00018	OK	OK	5	0		0.0	0
rxn00019	OK	OK	4	0		0.0	0
rxn00020	OK	OK	3	0		0.0	0
rxn00021	OK	OK	2	0		0.0	0
rxn00022	OK	OK	3	0		0.0	0
rxn00023	OK	A_no_formula	5	2		0.0	0
rxn00024	OK	OK	3	0		0.0	0
rxn00025	OK	OK	3	0		0.0	0
rxn00026	OK	OK	4	0		0.0	0
rxn00027	CI:8	E_charge_only	3	0		8.0	0
rxn00028	CI:2	OK	4	0		0.0	0
rxn00029	OK	OK	4	0		0.0	0
rxn00030	OK	OK	2	0		0.0	0
rxn00031	OK	OK	3	0		0.0	0
rxn00032	OK	OK	4	0		0.0	0
rxn00033	OK	OK	4	0		0.0	0
rxn00034	OK	OK	3	0		0.0	0
rxn00035	OK	OK	4	0		0.0	0
rxn00036	OK	OK	4	0		0.0	0
rxn00037	OK	OK	5	0		0.0	0
rxn00038	OK	OK	4	0		0.0	0
rxn00039	OK	OK	3	0		0.0	0
rxn00040	OK	OK	4	0		0.0	0
rxn00041	OK	OK	4	0		0.0	0
rxn00042	OK	OK	4	0		0.0	0
rxn00043	OK	OK	4	0		0.0	0
rxn00044	OK	OK	3	0		0.0	0
rxn00045	OK	OK	3	0		0.0	0
rxn00046	OK	OK	3	0		0.0	0
rxn00047	OK	OK	2	0		0.0	0
rxn00048	CI:1	OK	3	0		0.0	0
rxn00050	OK	OK	3	0		0.0	0
rxn00051	OK	OK	4	0		0.0	0
