id	name	ec	current_assignment	alternatives	residual	definition
rxn01915	urate-ribonucleotide:orthophosphate D-ribosyltransferase	2.4.2.16	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) Phosphate[0] + (1) Urate D-ribonucleotide[0] <= (1) Urate[0] + (1) Ribose 1-phosphate[0]
rxn04272	cis-2-Methyl-5-isopropylhexa-2,5-dienoate-CoA ligase	6.2.1.-	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:-3,P:-1	(1) ATP[0] + (1) CoA[0] + (1) cis-2-Methyl-5-isopropylhexa-2,5-dienoic acid[0] <= (1) Phosphate[0] + (1) AMP[0] + (1) ci
rxn04273	trans-2-Methyl-5-isopropylhexa-2,5-dienoate-CoA ligase	6.2.1.-	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:-3,P:-1	(1) ATP[0] + (1) CoA[0] + (1) trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid[0] <= (1) Phosphate[0] + (1) AMP[0] + (1) 
rxn06117	ATP:polyphosphate phosphotransferase	2.7.4.1	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) ATP[0] <= (1) ADP[0]
rxn06118	Polyphosphate:D-glucose 6-phosphotransferase	2.7.1.63	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) D-Glucose[0] => (1) D-glucose-6-phosphate[0]
rxn06120	Polyphosphate:D-glucose 6-phosphotransferase	2.7.1.63	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) beta-D-Glucose[0] => (1) beta-D-Glucose 6-phosphate[0]
rxn06121	3-Phospho-D-glyceroyl-phosphate:polyphosphate phosphotransferase	2.7.4.17	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:-3,P:-1,charge:+1	(1) 1,3-Bisphospho-D-glycerate[0] <= (1) 3-Phosphoglycerate[0]
rxn11769	rxn11769	2.7.4.-	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:+1,O:+3,P:+1	(1) 6-Thioinosine 5'-monophosphate[0] => (1) 6-Thioinosine-5'-diphosphate[0]
rxn11770	rxn11770	2.7.4.-	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) 6-Thioinosine-5'-diphosphate[0] => (1) 6-Thioinosine-5'-triphosphate[0]
rxn15314	Polyphosphate:D-glucose 6-phosphotransferase	2.7.1.63	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) alpha-D-Glucose[0] => (1) alpha-D-Glucose 6-phosphate[0]
rxn17702	dolichylpyrophosphate:polyphosphate phosphotransferase	2.7.4.20	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:-3,P:-1	(1) Dolichyl diphosphate[0] <= (1) DOLICHOLP[0]
rxn31774	RXN-8618	4.2.3.-	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) H2O[0] + (1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Geraniol[0]
rxn32442	geranyltranstransferase	2.5.1.10	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) Isopentenyldiphosphate[0] + (1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Farnesyldiphosphate[0]
rxn33850	Pyruvate Carboxylase	6.4.1.1	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-2,O:-4,P:-1,charge:+1	(1) ATP[0] + (1) Pyruvate[0] + (1) H2CO3[0] <= (1) ADP[0] + (1) Oxaloacetate[0]
rxn33854	Succinate --CoA Ligase (ADP forming)	6.2.1.5	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:-4,P:-1,charge:+2	(1) ATP[0] + (1) CoA[0] + (1) Succinate[0] <= (1) ADP[0] + (1) Succinyl-CoA[0]
rxn33855	Succinate--CoA Ligase (GDP Forming)	6.2.1.4	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:-4,P:-1,charge:+2	(1) CoA[0] + (1) Succinate[0] + (1) GTP[0] <= (1) GDP[0] + (1) Succinyl-CoA[0]
rxn33871	Pyruvate Phosphate dikinase	2.7.9.1	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) ATP[0] + (1) Phosphate[0] + (1) Pyruvate[0] => (1) ADP[0] + (1) PPi[0] + (1) Phosphoenolpyruvate[0]
rxn34005	Phosphoadenosine Phosphosulfate Reductase	1.8.4.9	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:+2,O:-3,P:-1,charge:+3	(2) GSH[0] + (1) 3-phosphoadenylylsulfate[0] <= (1) AMP[0] + (1) Sulfite[0] + (1) Oxidized glutathione[0]
rxn35574	Dimethylallyltransferase	2.5.1.1	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-2,O:-3,P:-1,charge:-1	(1) Isopentenyldiphosphate[0] + (1) DMAPP[0] <= (1) PPi[0] + (1) (E)-geranyl phosphate[0]
rxn38690	RXNBWI-10.c	2.4.2.-	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-8,O:-7,P:-1,charge:+1	(1) L-Glutamine[0] + (1) Glycerone-phosphate[0] + (1) D-Ribulose5-phosphate[0] <= (1) Pyridoxal phosphate[0] + (1) L-Glu
rxn38700	Thiamin pyrophosphokinase	2.7.6.2	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) GTP[0] + (1) Thiamin[0] => (1) GDP[0] + (1) TPP[0]
rxn39093	4.2.3.16-RXN	4.2.3.16-	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) (E)-geranyl phosphate[0] => (1) PPi[0] + (1) Limonene[0]
rxn03945	R05675	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:+1,O:-3,P:-1,charge:+2	(1) N-Acetyl-O-demethylpuromycin-5'-phosphate[0] <= (1) N-Acetyl-O-demethylpuromycin[0]
rxn04441	R06588	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) Kanosamine[0] => (1) Kanosamine 6-phosphate[0]
rxn04652	Ribose 1-phosphokinase	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) Ribose 1-phosphate[0] => (1) Ribose 1,5-bisphosphate[0]
rxn04929	R07126	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+4,P:+1,charge:-3	(1) L-Ascorbate[0] => (1) 3-keto-L-gulonate-6-phosphate[0]
rxn08953	3-deoxy-D-manno-octulosonic acid transferase	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) CMP-KDO[0] + (1) Lipid A disaccharide[0] => (1) CMP[0] + (1) H+[0] + (1) KDO-lipid IV(A)[0]
rxn11092	rxn11092	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	O:+3,P:+1,charge:-1	(1) ATP[0] + (1) ribose-5-phosphate[0] => (1) ADP[0] + (1) PRPP[0]
rxn11371	trehalose-monomycolate-phosphatase	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:+1,O:+4,P:+1,charge:-2	(1) M_trehalose_methoxy_mycolate_phosphate_1_cyclopropanated_ring[0] <=> (1) Phosphate[0] + (1) M_trehalose_methoxy_myco
rxn11372	trehalose-monomycolate-phosphatase	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:+1,O:+4,P:+1,charge:-2	(1) M_trehalose_keto_mycolate_phosphate_1_cyclopropanated_rings[0] <=> (1) Phosphate[0] + (1) M_trehalose_keto_mycolate_
rxn11373	trehalose-monomycolate-phosphatase	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:+1,O:+4,P:+1,charge:-2	(1) M_trehalose_keto_mycolate_phosphate_2_cyclopropanated_rings[0] <=> (1) Phosphate[0] + (1) M_trehalose_keto_mycolate_
rxn12125	R08480	null	free Pi	ATP/ADP|GTP/GDP|UTP/UDP	H:-1,O:+3,P:+1,charge:-2	(1) Psilocin[0] => (1) Psilocybin[0]
