query_id,actual_ec,predicted_ecs,top_predicted_ec,confidence,n_supporting,supporting_reactions,reaction_center
rxn03725,['1.14.12.12'],['1.3.3.6'],1.3.3.6,0.6666666666666666,[16],"[['rxn09475', 'rxn09476', 'rxn09477', 'rxn09478', 'rxn09479', 'rxn19050', 'rxn21058', 'rxn21069', 'rxn21071', 'rxn22963', 'rxn31221', 'rxn31260', 'rxn35686', 'rxn35687', 'rxn35688', 'rxn35689']]","['CH2', 'CH2', 'O', 'O']"
rxn06913,['1.14.12.12'],['1.3.3.6'],1.3.3.6,0.6666666666666666,[16],"[['rxn09475', 'rxn09476', 'rxn09477', 'rxn09478', 'rxn09479', 'rxn19050', 'rxn21058', 'rxn21069', 'rxn21071', 'rxn22963', 'rxn31221', 'rxn31260', 'rxn35686', 'rxn35687', 'rxn35688', 'rxn35689']]","['CH2', 'CH2', 'O', 'O']"
rxn07284,['1.14.-.-'],['1.1.1.296'],1.1.1.296,0.5384615384615384,[8],"[['rxn04242', 'rxn04243', 'rxn04244', 'rxn04245', 'rxn04248', 'rxn04249', 'rxn04250', 'rxn04251']]","['CH', 'OH']"
rxn07277,['1.14.-.-'],['1.1.1.296'],1.1.1.296,0.5714285714285714,[8],"[['rxn04242', 'rxn04243', 'rxn04244', 'rxn04245', 'rxn04248', 'rxn04249', 'rxn04250', 'rxn04251']]","['CH', 'OH']"
rxn07282,['1.14.-.-'],['1.1.1.296'],1.1.1.296,0.5714285714285714,[8],"[['rxn04242', 'rxn04243', 'rxn04244', 'rxn04245', 'rxn04248', 'rxn04249', 'rxn04250', 'rxn04251']]","['CH', 'OH']"
rxn15925,['1.-.-.-'],['1.1.1.296'],1.1.1.296,0.5333333333333333,[8],"[['rxn04242', 'rxn04243', 'rxn04244', 'rxn04245', 'rxn04248', 'rxn04249', 'rxn04250', 'rxn04251']]","['CH', 'OH']"
rxn17001,['1.10.99.2'],['1.6.5.2'],1.6.5.2,0.6111111111111112,[32],"[['rxn06429', 'rxn08975', 'rxn08977', 'rxn09523', 'rxn10995', 'rxn20291', 'rxn36772', 'rxn36773', 'rxn36783', 'rxn36810', 'rxn36811', 'rxn36812', 'rxn36813', 'rxn36816', 'rxn36817', 'rxn36818', 'rxn36819', 'rxn36820', 'rxn36821', 'rxn36823', 'rxn36828', 'rxn36829', 'rxn36838', 'rxn36839', 'rxn36840', 'rxn36841', 'rxn36842', 'rxn36843', 'rxn36848', 'rxn36850', 'rxn36857', 'rxn36889']]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'CH', 'CH', 'CH', 'CH2', 'N', 'O', 'O']"
rxn20833,['2.3.1.-'],['1.3.1.10'],1.3.1.10,0.7619047619047619,[28],"[['rxn21015', 'rxn21859', 'rxn26008', 'rxn26537', 'rxn26540', 'rxn26541', 'rxn26557', 'rxn26577', 'rxn26584', 'rxn26585', 'rxn26589', 'rxn26595', 'rxn26604', 'rxn26606', 'rxn26617', 'rxn26628', 'rxn26629', 'rxn26640', 'rxn26645', 'rxn26662', 'rxn26664', 'rxn26672', 'rxn26684', 'rxn26692', 'rxn26693', 'rxn26705', 'rxn26721', 'rxn26724']]","['C', 'CH', 'CH', 'CH', 'CH', 'CH', 'CH2', 'N']"
rxn20831,['2.3.1.-'],['1.1.1.100'],1.1.1.100,0.9666666666666667,[39],"[['rxn21009', 'rxn21013', 'rxn21857', 'rxn21861', 'rxn23280', 'rxn23310', 'rxn26006', 'rxn26535', 'rxn26536', 'rxn26552', 'rxn26570', 'rxn26571', 'rxn26580', 'rxn26581', 'rxn26588', 'rxn26594', 'rxn26596', 'rxn26600', 'rxn26601', 'rxn26607', 'rxn26632', 'rxn26635', 'rxn26643', 'rxn26647', 'rxn26648', 'rxn26668', 'rxn26685', 'rxn26686', 'rxn26687', 'rxn26695', 'rxn26696', 'rxn26707', 'rxn26711', 'rxn26723', 'rxn28224', 'rxn37627', 'rxn37628', 'rxn37724', 'rxn37725']]","['C', 'C', 'CH', 'CH', 'CH', 'CH2', 'N', 'O']"
rxn24076,['1.13.99.3'],['1.1.1.296'],1.1.1.296,0.5333333333333333,[8],"[['rxn04242', 'rxn04243', 'rxn04244', 'rxn04245', 'rxn04248', 'rxn04249', 'rxn04250', 'rxn04251']]","['CH', 'OH']"
