similarity_ranking,rxn_name,ec_number,distance
1,rxn00011,1.2.4.1|2.2.1.6|4.1.1.1,0.9999999
2,rxn00473,4.1.99.1,0.9122983
3,rxn24326,2.1.1.-,0.9015712
4,rxn00521,4.1.99.2,0.89896035
5,rxn04551,2.1.1.-,0.89768684
6,rxn23042,2.5.1.3,0.8945936
7,rxn05943,2.1.1.9,0.8918979
8,rxn44609,2.1.1.8,0.8910887
9,rxn41701,n|u|l|l,0.89058185
10,rxn44864,n|u|l|l,0.8890685
11,rxn59386,n|u|l|l,0.8885276
12,rxn59342,n|u|l|l,0.8885276
13,rxn47513,n|u|l|l,0.8885276
14,rxn44710,n|u|l|l,0.8885276
15,rxn44699,n|u|l|l,0.8885276
16,rxn41746,1.3.8.14,0.8885276
17,rxn01537,3.5.99.2,0.8881409
18,rxn01874,2.1.1.96,0.8853115
19,rxn41647,n|u|l|l,0.8851386
20,rxn16125,4.2.1.-,0.88416386
21,rxn21100,n|u|l|l,0.8830308
22,rxn42025,2.1.1.158,0.8829827
23,rxn00125,3.3.1.2,0.88298106
24,rxn42376,2.1.1.299,0.88287663
25,rxn44998,2.1.1.28,0.88287485
26,rxn16212,2.1.1.-,0.8815216
27,rxn21098,n|u|l|l,0.88129276
28,rxn07831,n|u|l|l,0.8809246
29,rxn20971,n|u|l|l,0.8806706
30,rxn23043,2.5.1.3,0.8805733
