similarity_ranking,rxn_name,ec_number,cosine_similarity,reaction_center,rxn_smiles
1,rxn00044,['3.5.1.46'],0.9999997019767761,"['C', 'NH', 'OH2']",O.[NH3+]CCCCCC(=O)NCCCCCC(=O)[O-]>>[NH3+]CCCCCC(=O)[O-].[NH3+]CCCCCC(=O)[O-]
2,rxn40832,['3.4.19.13'],0.9556041359901428,"['C', 'NH', 'OH2']",O.[NH3+][C@@H](CCC(=O)N[C@@H](CSCc1ccc([N+](=O)[O-])cc1)C(=O)NCC(=O)[O-])C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CSCc1ccc([N+](=O)[O-])cc1)C(=O)NCC(=O)[O-]
3,rxn42649,[],0.9533854722976685,"['C', 'NH', 'OH2']",O.[NH3+][C@@H](CCC(=O)N[C@@H](CS/C(Cc1ccc(O)cc1)=N\O)C(=O)NCC(=O)[O-])C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CS/C(Cc1ccc(O)cc1)=N\O)C(=O)NCC(=O)[O-]
4,rxn21817,[],0.952796995639801,"['C', 'NH', 'OH2']",O.[NH3+][C@@H](CCC(=O)N[C@@H](CS/C(Cc1ccccc1)=N\O)C(=O)NCC(=O)[O-])C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CS/C(Cc1ccccc1)=N\O)C(=O)NCC(=O)[O-]
5,rxn00865,"['3.4.13.18', '3.4.13.20']",0.9510796070098877,"['C', 'NH', 'OH2']",O.[NH3+]CCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-]>>[NH3+]CCC(=O)[O-].[NH3+][C@@H](Cc1c[nH]cn1)C(=O)[O-]
6,rxn53357,[],0.9481967687606812,"['C', 'NH', 'OH2']",O.[NH3+][C@@H](CCC(=O)N[C@@H](CS/C(Cc1c[nH]c2ccccc12)=N/O)C(=O)NCC(=O)[O-])C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CS/C(Cc1c[nH]c2ccccc12)=N/O)C(=O)NCC(=O)[O-]
7,rxn21818,[],0.9478487372398376,"['C', 'NH', 'OH2']",O.[NH3+][C@@H](CCC(=O)N[C@@H](CS/C(Cc1c[nH]c2ccccc12)=N\O)C(=O)NCC(=O)[O-])C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CS/C(Cc1c[nH]c2ccccc12)=N\O)C(=O)NCC(=O)[O-]
8,rxn00350,"['2.3.2.2', '3.4.19.13']",0.947570264339447,"['C', 'NH', 'OH2']",O.[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](C[S-])C(=O)NCC(=O)[O-]
9,rxn60012,[],0.9436030983924866,"['C', 'NH', 'OH2']",O.[NH3+][C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccccc1)C(=O)[O-]>>[NH3+][C@@H](CC(=O)[O-])C(=O)[O-].[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]
10,rxn56301,[],0.9345114231109619,"['C', 'NH', 'OH2']",O.[NH3+]CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-]>>[NH3+]CC(=O)[O-].[NH3+][C@@H](Cc1c[nH]cn1)C(=O)[O-]
