id,name,abbreviation,ec_numbers,reversibility,deltag,deltagerr,definition,is_transport,rxn_smiles
rxn00001,diphosphate phosphohydrolase,R00004,['3.6.1.1'],>,-3.46,0.05,(1) H2O[0] + (1) PPi[0] => (2) Phosphate[0] + (1) H+[0],0,O.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])O.O=P([O-])([O-])O.[H+]
rxn00002,urea-1-carboxylate amidohydrolase,R00005,['3.5.1.54'],>,-20.14,1.86,(1) H2O[0] + (3) H+[0] + (1) Allophanate[0] => (2) CO2[0] + (2) NH3[0],0,O.[H+].[H+].[H+].NC(=O)NC(=O)[O-]>>O=C=O.O=C=O.[NH4+].[NH4+]
rxn00003,pyruvate:pyruvate acetaldehydetransferase (decarboxylating),R00006,['2.2.1.6'],<,8.27,0.9,(1) CO2[0] + (1) ALCTT[0] <= (2) Pyruvate[0] + (1) H+[0],0,O=C=O.CC(=O)C(C)(O)C(=O)[O-]>>CC(=O)C(=O)[O-].CC(=O)C(=O)[O-].[H+]
rxn00004,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming),R00008,['4.1.3.17'],=,4.49,0.57,(1) Parapyruvate[0] <=> (2) Pyruvate[0],0,CC(O)(CC(=O)C(=O)[O-])C(=O)[O-]>>CC(=O)C(=O)[O-].CC(=O)C(=O)[O-]
rxn00006,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,R00009,"['1.11.1.21', '1.11.1.6']",>,-46.06,1.64,(2) H2O2[0] => (2) H2O[0] + (1) O2[0],0,OO.OO>>O.O.O=O
rxn00007,"alpha,alpha-trehalose glucohydrolase",R00010,['3.2.1.28'],=,-2.79,0.26,(1) H2O[0] + (1) TRHL[0] <=> (2) D-Glucose[0],0,O.OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
rxn00008,Mn(II):hydrogen-peroxide oxidoreductase,R00011,['1.11.1.13'],<,62.53,0.8,(2) H2O[0] <= (1) H2O2[0] + (2) H+[0],0,O.O>>OO.[H+].[H+]
rxn00009,GTP:GTP guanylyltransferase,R00012,['2.7.7.45'],=,2.7,1.52,(2) GTP[0] <=> (1) PPi[0] + (1) H+[0] + (1) GppppG[0],0,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1.Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=P([O-])([O-])OP(=O)([O-])O.[H+].Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
rxn00010,glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming),R00013,['4.1.1.47'],=,-4.57,1.08,(2) Glyoxalate[0] + (1) H+[0] <=> (1) CO2[0] + (1) Tartronate semialdehyde[0],0,O=CC(=O)[O-].O=CC(=O)[O-].[H+]>>O=C=O.O=CC(O)C(=O)[O-]
rxn00011,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),R00014,"['1.2.4.1', '2.2.1.6', '4.1.1.1']",<,7.23,0.84,(1) CO2[0] + (1) 2-Hydroxyethyl-ThPP[0] <= (1) Pyruvate[0] + (1) TPP[0] + (1) H+[0],0,O=C=O.Cc1ncc(C[n+]2c(C(C)O)sc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1>>CC(=O)C(=O)[O-].Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1.[H+]
