header,accession,ec,ec_class,organism,group,seq_len
P48506__EC_6.3.2.2__Homo_sapiens,P48506,6.3.2.2,6,Homo_sapiens,similar,637
P19468__EC_6.3.2.2__Rattus_norvegicus,P19468,6.3.2.2,6,Rattus_norvegicus,similar,637
P97494__EC_6.3.2.2__Mus_musculus,P97494,6.3.2.2,6,Mus_musculus,similar,637
Q20117__EC_6.3.2.2__Caenorhabditis_elegans,Q20117,6.3.2.2,6,Caenorhabditis_elegans,similar,654
P46309__EC_6.3.2.2__Arabidopsis_thaliana,P46309,6.3.2.2,6,Arabidopsis_thaliana,similar,522
C7P8V7__EC_6.3.4.24__Methanocaldococcus_fervens_(strain_DSM_4,C7P8V7,6.3.4.24,6,Methanocaldococcus_fervens_(strain_DSM_4,similar,291
Q58225__EC_6.3.4.24__Methanocaldococcus_jannaschii_(strain_AT,Q58225,6.3.4.24,6,Methanocaldococcus_jannaschii_(strain_AT,similar,308
A5YM72__EC_6.3.2.11__Homo_sapiens,A5YM72,6.3.2.11,6,Homo_sapiens,similar,827
Q6ZPS2__EC_6.3.2.11__Mus_musculus,Q6ZPS2,6.3.2.11,6,Mus_musculus,similar,827
D3KCC4__EC_6.3.2.11__Gallus_gallus,D3KCC4,6.3.2.11,6,Gallus_gallus,similar,930
P11766__EC_1.1.1.1__Homo_sapiens,P11766,1.1.1.1,1,Homo_sapiens,control,374
P07327__EC_1.1.1.1__Homo_sapiens,P07327,1.1.1.1,1,Homo_sapiens,control,375
P00326__EC_1.1.1.1__Homo_sapiens,P00326,1.1.1.1,1,Homo_sapiens,control,375
P28332__EC_1.1.1.1__Homo_sapiens,P28332,1.1.1.1,1,Homo_sapiens,control,368
P40394__EC_1.1.1.1__Homo_sapiens,P40394,1.1.1.1,1,Homo_sapiens,control,386
P04406__EC_1.2.1.12__Homo_sapiens,P04406,1.2.1.12,1,Homo_sapiens,control,335
O14556__EC_1.2.1.12__Homo_sapiens,O14556,1.2.1.12,1,Homo_sapiens,control,408
P00358__EC_1.2.1.12__Saccharomyces_cerevisiae_(strain_ATCC_20,P00358,1.2.1.12,1,Saccharomyces_cerevisiae_(strain_ATCC_20,control,332
P00359__EC_1.2.1.12__Saccharomyces_cerevisiae_(strain_ATCC_20,P00359,1.2.1.12,1,Saccharomyces_cerevisiae_(strain_ATCC_20,control,332
P00360__EC_1.2.1.12__Saccharomyces_cerevisiae_(strain_ATCC_20,P00360,1.2.1.12,1,Saccharomyces_cerevisiae_(strain_ATCC_20,control,332
P27338__EC_1.4.3.4__Homo_sapiens,P27338,1.4.3.4,1,Homo_sapiens,control,520
P21397__EC_1.4.3.4__Homo_sapiens,P21397,1.4.3.4,1,Homo_sapiens,control,527
P19643__EC_1.4.3.4__Rattus_norvegicus,P19643,1.4.3.4,1,Rattus_norvegicus,control,520
Q64133__EC_1.4.3.4__Mus_musculus,Q64133,1.4.3.4,1,Mus_musculus,control,526
P21398__EC_1.4.3.4__Bos_taurus,P21398,1.4.3.4,1,Bos_taurus,control,527
P04040__EC_1.11.1.6__Homo_sapiens,P04040,1.11.1.6,1,Homo_sapiens,control,527
P26901__EC_1.11.1.6__Bacillus_subtilis_(strain_168),P26901,1.11.1.6,1,Bacillus_subtilis_(strain_168),control,483
Q0E4K1__EC_1.11.1.6__Oryza_sativa_subsp._japonica,Q0E4K1,1.11.1.6,1,Oryza_sativa_subsp._japonica,control,492
Q42547__EC_1.11.1.6__Arabidopsis_thaliana,Q42547,1.11.1.6,1,Arabidopsis_thaliana,control,492
P21179__EC_1.11.1.6__Escherichia_coli_(strain_K12),P21179,1.11.1.6,1,Escherichia_coli_(strain_K12),control,753
P29475__EC_1.14.13.39__Homo_sapiens,P29475,1.14.13.39,1,Homo_sapiens,control,1434
P29474__EC_1.14.13.39__Homo_sapiens,P29474,1.14.13.39,1,Homo_sapiens,control,1203
P35228__EC_1.14.13.39__Homo_sapiens,P35228,1.14.13.39,1,Homo_sapiens,control,1153
P29477__EC_1.14.13.39__Mus_musculus,P29477,1.14.13.39,1,Mus_musculus,control,1144
Q27995__EC_1.14.13.39__Bos_taurus,Q27995,1.14.13.39,1,Bos_taurus,control,1156
P04179__EC_1.15.1.1__Homo_sapiens,P04179,1.15.1.1,1,Homo_sapiens,control,222
P08294__EC_1.15.1.1__Homo_sapiens,P08294,1.15.1.1,1,Homo_sapiens,control,240
P00441__EC_1.15.1.1__Homo_sapiens,P00441,1.15.1.1,1,Homo_sapiens,control,154
Q8WWM9__EC_1.15.1.1__Homo_sapiens,Q8WWM9,1.15.1.1,1,Homo_sapiens,control,190
P34461__EC_1.15.1.1__Caenorhabditis_elegans,P34461,1.15.1.1,1,Caenorhabditis_elegans,control,221
P26358__EC_2.1.1.37__Homo_sapiens,P26358,2.1.1.37,2,Homo_sapiens,control,1616
Q9UBC3__EC_2.1.1.37__Homo_sapiens,Q9UBC3,2.1.1.37,2,Homo_sapiens,control,853
Q9Y6K1__EC_2.1.1.37__Homo_sapiens,Q9Y6K1,2.1.1.37,2,Homo_sapiens,control,912
O23273__EC_2.1.1.37__Arabidopsis_thaliana,O23273,2.1.1.37,2,Arabidopsis_thaliana,control,1519
O34680__EC_2.1.1.37__Bacillus_subtilis_(strain_168),O34680,2.1.1.37,2,Bacillus_subtilis_(strain_168),control,389
P09110__EC_2.3.1.9__Homo_sapiens,P09110,2.3.1.9,2,Homo_sapiens,control,424
Q9BWD1__EC_2.3.1.9__Homo_sapiens,Q9BWD1,2.3.1.9,2,Homo_sapiens,control,397
P24752__EC_2.3.1.9__Homo_sapiens,P24752,2.3.1.9,2,Homo_sapiens,control,427
P42765__EC_2.3.1.9__Homo_sapiens,P42765,2.3.1.9,2,Homo_sapiens,control,397
Q8VCH0__EC_2.3.1.9__Mus_musculus,Q8VCH0,2.3.1.9,2,Mus_musculus,control,424
P00491__EC_2.4.2.1__Homo_sapiens,P00491,2.4.2.1,2,Homo_sapiens,control,289
Q8IV20__EC_2.4.2.1__Homo_sapiens,Q8IV20,2.4.2.1,2,Homo_sapiens,control,430
P0ABP8__EC_2.4.2.1__Escherichia_coli_(strain_K12),P0ABP8,2.4.2.1,2,Escherichia_coli_(strain_K12),control,239
P85973__EC_2.4.2.1__Rattus_norvegicus,P85973,2.4.2.1,2,Rattus_norvegicus,control,289
P17174__EC_2.6.1.1__Homo_sapiens,P17174,2.6.1.1,2,Homo_sapiens,control,413
P00505__EC_2.6.1.1__Homo_sapiens,P00505,2.6.1.1,2,Homo_sapiens,control,430
P00507__EC_2.6.1.1__Rattus_norvegicus,P00507,2.6.1.1,2,Rattus_norvegicus,control,430
P23542__EC_2.6.1.1__Saccharomyces_cerevisiae_(strain_ATCC_20,P23542,2.6.1.1,2,Saccharomyces_cerevisiae_(strain_ATCC_20,control,418
P00509__EC_2.6.1.1__Escherichia_coli_(strain_K12),P00509,2.6.1.1,2,Escherichia_coli_(strain_K12),control,396
P19367__EC_2.7.1.1__Homo_sapiens,P19367,2.7.1.1,2,Homo_sapiens,control,917
P35557__EC_2.7.1.1__Homo_sapiens,P35557,2.7.1.1,2,Homo_sapiens,control,465
P52789__EC_2.7.1.1__Homo_sapiens,P52789,2.7.1.1,2,Homo_sapiens,control,917
P52790__EC_2.7.1.1__Homo_sapiens,P52790,2.7.1.1,2,Homo_sapiens,control,923
Q2TB90__EC_2.7.1.1__Homo_sapiens,Q2TB90,2.7.1.1,2,Homo_sapiens,control,917
O00411__EC_2.7.7.6__Homo_sapiens,O00411,2.7.7.6,2,Homo_sapiens,control,1230
P30876__EC_2.7.7.6__Homo_sapiens,P30876,2.7.7.6,2,Homo_sapiens,control,1174
Q9H9Y6__EC_2.7.7.6__Homo_sapiens,Q9H9Y6,2.7.7.6,2,Homo_sapiens,control,1135
P24928__EC_2.7.7.6__Homo_sapiens,P24928,2.7.7.6,2,Homo_sapiens,control,1970
Q9NW08__EC_2.7.7.6__Homo_sapiens,Q9NW08,2.7.7.6,2,Homo_sapiens,control,1133
P07098__EC_3.1.1.3__Homo_sapiens,P07098,3.1.1.3,3,Homo_sapiens,control,398
P41247__EC_3.1.1.3__Homo_sapiens,P41247,3.1.1.3,3,Homo_sapiens,control,253
Q6P1J6__EC_3.1.1.3__Homo_sapiens,Q6P1J6,3.1.1.3,3,Homo_sapiens,control,1458
Q8NCG7__EC_3.1.1.3__Homo_sapiens,Q8NCG7,3.1.1.3,3,Homo_sapiens,control,672
Q96AD5__EC_3.1.1.3__Homo_sapiens,Q96AD5,3.1.1.3,3,Homo_sapiens,control,504
P05186__EC_3.1.3.1__Homo_sapiens,P05186,3.1.3.1,3,Homo_sapiens,control,524
P10696__EC_3.1.3.1__Homo_sapiens,P10696,3.1.3.1,3,Homo_sapiens,control,532
P05187__EC_3.1.3.1__Homo_sapiens,P05187,3.1.3.1,3,Homo_sapiens,control,535
P09923__EC_3.1.3.1__Homo_sapiens,P09923,3.1.3.1,3,Homo_sapiens,control,528
P09242__EC_3.1.3.1__Mus_musculus,P09242,3.1.3.1,3,Mus_musculus,control,524
P0DTE8__EC_3.2.1.1__Homo_sapiens,P0DTE8,3.2.1.1,3,Homo_sapiens,control,511
P0DUB6__EC_3.2.1.1__Homo_sapiens,P0DUB6,3.2.1.1,3,Homo_sapiens,control,511
P04746__EC_3.2.1.1__Homo_sapiens,P04746,3.2.1.1,3,Homo_sapiens,control,511
P0DTE7__EC_3.2.1.1__Homo_sapiens,P0DTE7,3.2.1.1,3,Homo_sapiens,control,511
P25718__EC_3.2.1.1__Escherichia_coli_(strain_K12),P25718,3.2.1.1,3,Escherichia_coli_(strain_K12),control,676
P07478__EC_3.4.21.4__Homo_sapiens,P07478,3.4.21.4,3,Homo_sapiens,control,247
P07477__EC_3.4.21.4__Homo_sapiens,P07477,3.4.21.4,3,Homo_sapiens,control,247
P35030__EC_3.4.21.4__Homo_sapiens,P35030,3.4.21.4,3,Homo_sapiens,control,304
P00760__EC_3.4.21.4__Bos_taurus,P00760,3.4.21.4,3,Bos_taurus,control,246
P07146__EC_3.4.21.4__Mus_musculus,P07146,3.4.21.4,3,Mus_musculus,control,246
