header,ec,distance,organism
P48506__EC_6.3.2.2__Homo_sapiens,6.3.2.2,0.9999999403953552,Homo sapiens
P19468__EC_6.3.2.2__Rattus_norvegicus,6.3.2.2,0.9999999403953552,Rattus norvegicus
P97494__EC_6.3.2.2__Mus_musculus,6.3.2.2,0.9999999403953552,Mus musculus
Q20117__EC_6.3.2.2__Caenorhabditis_elegans,6.3.2.2,0.9999999403953552,Caenorhabditis elegans
P46309__EC_6.3.2.2__Arabidopsis_thaliana,6.3.2.2,0.9999999403953552,Arabidopsis thaliana
Q54PC2__EC_6.3.2.2__Dictyostelium_discoideum,6.3.2.2,0.9999999403953552,Dictyostelium discoideum
Q9W3K5__EC_6.3.2.2__Drosophila_melanogaster,6.3.2.2,0.9999999403953552,Drosophila melanogaster
O23736__EC_6.3.2.2__Brassica_juncea,6.3.2.2,0.9999999403953552,Brassica juncea
C7P8V7__EC_6.3.4.24__Methanocaldococcus_fervens_(strain_DSM_4,6.3.4.24,0.9766206741333008,Methanocaldococcus fervens (strain DSM 4
Q58225__EC_6.3.4.24__Methanocaldococcus_jannaschii_(strain_AT,6.3.4.24,0.9766206741333008,Methanocaldococcus jannaschii (strain AT
A5YM72__EC_6.3.2.11__Homo_sapiens,6.3.2.11,0.9558428525924683,Homo sapiens
Q6ZPS2__EC_6.3.2.11__Mus_musculus,6.3.2.11,0.9558428525924683,Mus musculus
D3KCC4__EC_6.3.2.11__Gallus_gallus,6.3.2.11,0.9558428525924683,Gallus gallus
F4JYE9__EC_6.3.2.12__Arabidopsis_thaliana,6.3.2.12,0.9550683498382568,Arabidopsis thaliana
P08192__EC_6.3.2.12__Escherichia_coli_(strain_K12),6.3.2.12,0.9550683498382568,Escherichia coli (strain K12)
I6Y0R5__EC_6.3.2.12__Mycobacterium_tuberculosis_(strain_ATCC_,6.3.2.12,0.9550683498382568,Mycobacterium tuberculosis (strain ATCC 
Q12676__EC_6.3.2.12__Saccharomyces_cerevisiae_(strain_ATCC_20,6.3.2.12,0.9550683498382568,Saccharomyces cerevisiae (strain ATCC 20
Q05865__EC_6.3.2.12__Bacillus_subtilis_(strain_168),6.3.2.12,0.9550683498382568,Bacillus subtilis (strain 168)
P43775__EC_6.3.2.12__Haemophilus_influenzae_(strain_ATCC_5190,6.3.2.12,0.9550683498382568,Haemophilus influenzae (strain ATCC 5190
P57265__EC_6.3.2.12__Buchnera_aphidicola_subsp._Acyrthosiphon,6.3.2.12,0.9550683498382568,Buchnera aphidicola subsp. Acyrthosiphon
Q89AT2__EC_6.3.2.12__Buchnera_aphidicola_subsp._Baizongia_pis,6.3.2.12,0.9550683498382568,Buchnera aphidicola subsp. Baizongia pis
P50747__EC_6.3.-.-__Homo_sapiens,6.3.-.-,0.9257858124646273,Homo sapiens
P27708__EC_6.3.-.-__Homo_sapiens,6.3.-.-,0.9257858124646273,Homo sapiens
Q8IXN7__EC_6.3.-.-__Homo_sapiens,6.3.-.-,0.9257858124646273,Homo sapiens
P22102__EC_6.3.-.-__Homo_sapiens,6.3.-.-,0.9257858124646273,Homo sapiens
Q9ULI2__EC_6.3.-.-__Homo_sapiens,6.3.-.-,0.9257858124646273,Homo sapiens
O15067__EC_6.3.-.-__Homo_sapiens,6.3.-.-,0.9257858124646273,Homo sapiens
P15104__EC_6.3.-.-__Homo_sapiens,6.3.-.-,0.9257858124646273,Homo sapiens
P17812__EC_6.3.-.-__Homo_sapiens,6.3.-.-,0.9257858124646273,Homo sapiens
Q5JIZ8__EC_6.3.2.36__Thermococcus_kodakarensis_(strain_ATCC_B,6.3.2.36,0.9510062336921692,Thermococcus kodakarensis (strain ATCC B
Q2FUA9__EC_6.3.2.36__Methanospirillum_hungatei_JF-1_(strain_A,6.3.2.36,0.9510062336921692,Methanospirillum hungatei JF-1 (strain A
Q8PUQ1__EC_6.3.2.36__Methanosarcina_mazei_(strain_ATCC_BAA-15,6.3.2.36,0.9510062336921692,Methanosarcina mazei (strain ATCC BAA-15
B6YXQ1__EC_6.3.2.36__Thermococcus_onnurineus_(strain_NA1),6.3.2.36,0.9510062336921692,Thermococcus onnurineus (strain NA1)
Q57662__EC_6.3.2.36__Methanocaldococcus_jannaschii_(strain_AT,6.3.2.36,0.9510062336921692,Methanocaldococcus jannaschii (strain AT
Q47720__EC_6.3.2.35__Enterococcus_casseliflavus,6.3.2.35,0.9506720304489136,Enterococcus casseliflavus
P29753__EC_6.3.2.35__Enterococcus_gallinarum,6.3.2.35,0.9506720304489136,Enterococcus gallinarum
P31663__EC_6.3.2.1__Escherichia_coli_(strain_K12),6.3.2.1,0.9435762166976929,Escherichia coli (strain K12)
Q9FKB3__EC_6.3.2.1__Arabidopsis_thaliana,6.3.2.1,0.9435762166976929,Arabidopsis thaliana
P9WIL5__EC_6.3.2.1__Mycobacterium_tuberculosis_(strain_ATCC_,6.3.2.1,0.9435762166976929,Mycobacterium tuberculosis (strain ATCC 
P40459__EC_6.3.2.1__Saccharomyces_cerevisiae_(strain_ATCC_20,6.3.2.1,0.9435762166976929,Saccharomyces cerevisiae (strain ATCC 20
Q31P38__EC_6.3.2.1__Synechococcus_elongatus_(strain_ATCC_339,6.3.2.1,0.9435762166976929,Synechococcus elongatus (strain ATCC 339
Q3AUV1__EC_6.3.2.1__Synechococcus_sp._(strain_CC9902),6.3.2.1,0.9435762166976929,Synechococcus sp. (strain CC9902)
Q3MEJ8__EC_6.3.2.1__Trichormus_variabilis_(strain_ATCC_29413,6.3.2.1,0.9435762166976929,Trichormus variabilis (strain ATCC 29413
Q5N530__EC_6.3.2.1__Synechococcus_sp._(strain_ATCC_27144_/_P,6.3.2.1,0.9435762166976929,Synechococcus sp. (strain ATCC 27144 / P
Q58037__EC_6.3.2.33__Methanocaldococcus_jannaschii_(strain_AT,6.3.2.33,0.9434249401092529,Methanocaldococcus jannaschii (strain AT
Q6LZC7__EC_6.3.2.33__Methanococcus_maripaludis_(strain_DSM_14,6.3.2.33,0.9434249401092529,Methanococcus maripaludis (strain DSM 14
Q8Q0M5__EC_6.3.2.33__Methanosarcina_mazei_(strain_ATCC_BAA-15,6.3.2.33,0.9434249401092529,Methanosarcina mazei (strain ATCC BAA-15
Q8TKX5__EC_6.3.2.33__Methanosarcina_acetivorans_(strain_ATCC_,6.3.2.33,0.9434249401092529,Methanosarcina acetivorans (strain ATCC 
P39641__EC_6.3.2.49__Bacillus_subtilis_(strain_168),6.3.2.49,0.9414203763008118,Bacillus subtilis (strain 168)
Q8KWS8__EC_6.3.2.49__Bacillus_amyloliquefaciens,6.3.2.49,0.9414203763008118,Bacillus amyloliquefaciens
Q8KWT3__EC_6.3.2.49__Bacillus_subtilis,6.3.2.49,0.9414203763008118,Bacillus subtilis
